nameOfIssuer,titleOfClass,cusip,value,investmentDiscretion,sshPrnamt,sshPrnamtType,Sole,Shared,None
AT+T INC,COMMON STOCK USD1.,00206R102,674,SOLE,15600,SH,15600,0,0
AIR PRODUCTS + CHEMICALS INC,COMMON STOCK USD1.,009158106,1449,SOLE,10200,SH,10200,0,0
ANADARKO PETROLEUM CORP,COMMON STOCK USD.1,032511107,245,SOLE,4602,SH,4602,0,0
ANTERO RESOURCES CORP,COMMON STOCK USD.01,03674X106,1137,SOLE,43750,SH,43750,0,0
CDW CORP/DE,COMMON STOCK USD.01,12514G108,2104,SOLE,52491,SH,52491,0,0
COCA COLA CO/THE,COMMON STOCK USD.25,191216100,816,SOLE,18000,SH,18000,0,0
CYTOMX THERAPEUTICS INC,COMMON STOCK USD.00001,23284F105,729,SOLE,71366,SH,71366,0,0
WALT DISNEY CO/THE,COMMON STOCK USD.01,254687106,587,SOLE,6000,SH,6000,0,0
EXXON MOBIL CORP,COMMON STOCK,30231G102,3150,SOLE,33600,SH,33600,0,0
58.COM INC ADR,ADR,31680Q104,908,SOLE,19778,SH,19778,0,0
GENERAL ELECTRIC CO   W/D,COMMON STOCK USD.06,369604103,1247,SOLE,39600,SH,39600,0,0
HONEYWELL INTERNATIONAL INC,COMMON STOCK USD1.,438516106,489,SOLE,4200,SH,4200,0,0
ESTEE LAUDER COMPANIES CL A,COMMON STOCK USD.01,518439104,3040,SOLE,33400,SH,33400,0,0
LENDINGCLUB CORP,COMMON STOCK USD.01,52603A109,4029,SOLE,936891,SH,936891,0,0
MARSH + MCLENNAN COS,COMMON STOCK USD1.,571748102,356,SOLE,5200,SH,5200,0,0
MERCK + CO. INC.,COMMON STOCK USD.5,58933Y105,1244,SOLE,21600,SH,21600,0,0
OPHTHOTECH CORP,COMMON STOCK USD.001,683745103,822,SOLE,16110,SH,16110,0,0
PFIZER INC,COMMON STOCK USD.05,717081103,971,SOLE,27580,SH,27580,0,0
S+P GLOBAL INC,COMMON STOCK USD1.0,78409V104,644,SOLE,6000,SH,6000,0,0
SHUTTERSTOCK INC,COMMON STOCK USD.01,825690100,2348,SOLE,51266,SH,51266,0,0
TEGNA INC,COMMON STOCK USD1.0,87901J105,213,SOLE,9200,SH,9200,0,0
TEXAS INSTRUMENTS INC,COMMON STOCK USD1.,882508104,407,SOLE,6500,SH,6500,0,0
VERIZON COMMUNICATIONS INC,COMMON STOCK USD.1,92343V104,990,SOLE,17735,SH,17735,0,0
VIPSHOP HOLDINGS LTD   ADR,ADR USD.0001,92763W103,274,SOLE,24544,SH,24544,0,0
WELLS FARGO + CO,COMMON STOCK USD1.666,949746101,856,SOLE,18076,SH,18076,0,0
