nameOfIssuer,titleOfClass,cusip,value,investmentDiscretion,sshPrnamt,sshPrnamtType,Sole,Shared,None
AIR PRODUCTS CHEMICALS INC,COMMON STOCK,009158106,2787,SOLE,10200,SH,10200,0,0
ALIBABA GROUP HOLDING SP ADR,SPONSORED ADS,01609W102,41210,SOLE,177072,SH,177072,0,0
ALLOGENE THERAPEUTICS INC,COMMON STOCK,019770106,22720,SOLE,900143,SH,900143,0,0
AT T INC,COMMON STOCK,00206R102,624,SOLE,21688,SH,21688,0,0
AUTOMATIC DATA PROCESSING,COMMON STOCK,053015103,273,SOLE,1550,SH,1550,0,0
BERKSHIRE HATHAWAY INC CL B,COMMON STOCK,084670702,1865,SOLE,8043,SH,8043,0,0
COCA COLA CO/THE,COMMON STOCK,191216100,987,SOLE,18000,SH,18000,0,0
CONSTELLATION PHARMACEUTICAL,COMMON STOCK,210373106,21237,SOLE,737406,SH,737406,0,0
ESTEE LAUDER COMPANIES CL A,COMMON STOCK,518439104,8891,SOLE,33400,SH,33400,0,0
EXXON MOBIL CORP,COMMON STOCK,30231G102,1385,SOLE,33600,SH,33600,0,0
GENERAL ELECTRIC CO,COMMON STOCK,369604103,433,SOLE,40075,SH,40075,0,0
HONEYWELL INTERNATIONAL INC,COMMON STOCK,438516106,898,SOLE,4223,SH,4223,0,0
INARI MEDICAL INC,COMMON STOCK,45332Y109,362,SOLE,4152,SH,4152,0,0
INTELLIA THERAPEUTICS INC,COMMON STOCK,45826J105,6062,SOLE,111440,SH,111440,0,0
MARSH MCLENNAN COS,COMMON STOCK,571748102,608,SOLE,5200,SH,5200,0,0
MERCK CO. INC.,COMMON STOCK,58933Y105,1767,SOLE,21600,SH,21600,0,0
ORCHARD THERAPEUTICS PLC,ADS,68570P101,2679,SOLE,620233,SH,620233,0,0
OWL ROCK CAPITAL CORP,COMMON STOCK,69121K104,540466,SOLE,42690843,SH,42690843,0,0
PFIZER INC,COMMON STOCK,717081103,1018,SOLE,27645,SH,27645,0,0
RAPT THERAPEUTICS INC,COMMON STOCK,75382E109,22164,SOLE,1122237,SH,1122237,0,0
REVOLUTION MEDICINES INC,COMMON STOCK,76155X100,5549,SOLE,140155,SH,140155,0,0
S P GLOBAL INC,COMMON STOCK,78409V104,1972,SOLE,6000,SH,6000,0,0
SPDR S P MIDCAP 400 ETF TRUST,UTSER1 S&PDCRP,78467Y107,2352,SOLE,5600,SH,5600,0,0
TEXAS INSTRUMENTS INC,COMMON STOCK,882508104,1067,SOLE,6500,SH,6500,0,0
UNITED PARCEL SERVICE CL B,COMMON STOCK,911312106,227,SOLE,1350,SH,1350,0,0
VERIZON COMMUNICATIONS INC,COMMON STOCK,92343V104,1042,SOLE,17735,SH,17735,0,0
WALT DISNEY CO/THE,COMMON STOCK,254687106,1087,SOLE,6000,SH,6000,0,0
WELLS FARGO CO,COMMON STOCK,949746101,546,SOLE,18106,SH,18106,0,0
