nameOfIssuer,titleOfClass,cusip,value,investmentDiscretion,sshPrnamt,sshPrnamtType,Sole,Shared,None
AT+T INC,COMMON STOCK,00206R102,770,SOLE,18958,SH,18958,0,0
AIR PRODUCTS + CHEMICALS INC,COMMON STOCK,009158106,1533,SOLE,10200,SH,10200,0,0
ANADARKO PETROLEUM CORP,COMMON STOCK,032511107,292,SOLE,4602,SH,4602,0,0
ANTERO RESOURCES CORP,COMMON STOCK,03674X106,1179,SOLE,43750,SH,43750,0,0
CHINA BIOLOGIC PRODUCTS INC,COMMON STOCK,16938C106,1568,SOLE,12600,SH,12600,0,0
COCA COLA CO/THE,COMMON STOCK,191216100,762,SOLE,18000,SH,18000,0,0
CYTOMX THERAPEUTICS INC,COMMON STOCK,23284F105,1119,SOLE,71366,SH,71366,0,0
WALT DISNEY CO/THE,COMMON STOCK,254687106,557,SOLE,6000,SH,6000,0,0
EXXON MOBIL CORP,COMMON STOCK,30231G102,2933,SOLE,33600,SH,33600,0,0
58.COM INC ADR,DEPOSITORY RECEIPTS,31680Q104,943,SOLE,19778,SH,19778,0,0
GENERAL ELECTRIC CO,COMMON STOCK,369604103,1187,SOLE,40075,SH,40075,0,0
GREEN DOT CORP CLASS A,COMMON STOCK,39304D102,2284,SOLE,99062,SH,99062,0,0
HONEYWELL INTERNATIONAL INC,COMMON STOCK,438516106,490,SOLE,4200,SH,4200,0,0
ESTEE LAUDER COMPANIES CL A,COMMON STOCK,518439104,2958,SOLE,33400,SH,33400,0,0
LENDINGCLUB CORP,COMMON STOCK,52603A109,6028,SOLE,975443,SH,975443,0,0
MARSH + MCLENNAN COS,COMMON STOCK,571748102,350,SOLE,5200,SH,5200,0,0
MERCK + CO. INC.,COMMON STOCK,58933Y105,1348,SOLE,21600,SH,21600,0,0
OPHTHOTECH CORP,COMMON STOCK,683745103,743,SOLE,16110,SH,16110,0,0
PFIZER INC,COMMON STOCK,717081103,936,SOLE,27645,SH,27645,0,0
S+P GLOBAL INC,COMMON STOCK,78409V104,759,SOLE,6000,SH,6000,0,0
SHUTTERSTOCK INC,COMMON STOCK,825690100,3437,SOLE,53963,SH,53963,0,0
TEGNA INC,COMMON STOCK,87901J105,201,SOLE,9200,SH,9200,0,0
TEXAS INSTRUMENTS INC,COMMON STOCK,882508104,456,SOLE,6500,SH,6500,0,0
VERIZON COMMUNICATIONS INC,COMMON STOCK,92343V104,922,SOLE,17735,SH,17735,0,0
VIPSHOP HOLDINGS LTD   ADR,DEPOSITORY RECEIPTS,92763W103,450,SOLE,30678,SH,30678,0,0
WELLS FARGO + CO,COMMON STOCK,949746101,802,SOLE,18106,SH,18106,0,0
