nameOfIssuer,titleOfClass,cusip,value,investmentDiscretion,sshPrnamt,sshPrnamtType,Sole,Shared,None
AON PLC,COMMON STOCK USD.01,G0408V102,3531,SOLE,54879,SH,54879,0,0
COVIDIEN PLC,COMMON STOCK USD.2,G2554F113,2958,SOLE,47077,SH,47077,0,0
INVESCO LTD,COMMON STOCK USD.2,G491BT108,2039,SOLE,64120,SH,64120,0,0
LIBERTY GLOBAL PLC SERIES C,COMMON STOCK USD.01,G5480U120,4686,SOLE,69030,SH,69030,0,0
AT+T INC,COMMON STOCK USD1.,00206R102,671,SOLE,18950,SH,18950,0,0
ACCELRYS INC,COMMON STOCK USD.0001,00430U103,88,SOLE,10467,SH,10467,0,0
ADOBE SYSTEMS INC,COMMON STOCK USD.0001,00724F101,4022,SOLE,88279,SH,88279,0,0
AIR PRODUCTS + CHEMICALS INC,COMMON STOCK USD1.,9158106,934,SOLE,10200,SH,10200,0,0
ALEXION PHARMACEUTICALS INC,COMMON STOCK USD.0001,15351109,3642,SOLE,39485,SH,39485,0,0
ALLERGAN INC,COMMON STOCK USD.01,18490102,5581,SOLE,66253,SH,66253,0,0
ALTERA CORP,COMMON STOCK USD.001,21441100,322,SOLE,9761,SH,9761,0,0
AMAZON.COM INC,COMMON STOCK USD.01,23135106,5207,SOLE,18752,SH,18752,0,0
ANADARKO PETROLEUM CORP,COMMON STOCK USD.1,32511107,395,SOLE,4602,SH,4602,0,0
APACHE CORP,COMMON STOCK USD.625,37411105,2454,SOLE,29271,SH,29271,0,0
BMC SOFTWARE INC,COMMON STOCK USD.01,55921100,479,SOLE,10602,SH,10602,0,0
BIOGEN IDEC INC,COMMON STOCK USD.0005,09062X103,2336,SOLE,10855,SH,10855,0,0
CELGENE CORP,COMMON STOCK USD.01,151020104,3011,SOLE,25751,SH,25751,0,0
CERNER CORP,COMMON STOCK USD.01,156782104,3605,SOLE,37522,SH,37522,0,0
CHIPOTLE MEXICAN GRILL INC,COMMON STOCK USD.01,169656105,3114,SOLE,8546,SH,8546,0,0
COCA COLA CO/THE,COMMON STOCK USD.25,191216100,722,SOLE,18000,SH,18000,0,0
CROWN CASTLE INTL CORP,COMMON STOCK USD.01,228227104,4316,SOLE,59618,SH,59618,0,0
WALT DISNEY CO/THE,COMMON STOCK USD.01,254687106,379,SOLE,6000,SH,6000,0,0
EOG RESOURCES INC,COMMON STOCK USD.01,26875P101,4261,SOLE,32355,SH,32355,0,0
ECOLAB INC,COMMON STOCK USD1.,278865100,3168,SOLE,37190,SH,37190,0,0
EXXON MOBIL CORP,COMMON STOCK NPV,30231G102,3036,SOLE,33600,SH,33600,0,0
FMC TECHNOLOGIES INC,COMMON STOCK USD.01,30249U101,2437,SOLE,43772,SH,43772,0,0
FACEBOOK INC A,COMMON STOCK USD.000006,30303M102,6283,SOLE,252746,SH,252746,0,0
F5 NETWORKS INC,COMMON STOCK NPV,315616102,2155,SOLE,31318,SH,31318,0,0
GANNETT CO,COMMON STOCK USD1.,364730101,225,SOLE,9200,SH,9200,0,0
GENERAL ELECTRIC CO,COMMON STOCK USD.06,369604103,929,SOLE,40075,SH,40075,0,0
GOOGLE INC CL A,COMMON STOCK USD.001,38259P508,7287,SOLE,8277,SH,8277,0,0
GREEN DOT CORP CLASS A,COMMON STOCK USD.001,39304D102,1812,SOLE,90805,SH,90805,0,0
HANSEN MEDICAL INC,COMMON STOCK USD.0001,411307101,51,SOLE,35463,SH,35463,0,0
HONEYWELL INTERNATIONAL INC,COMMON STOCK USD1.,438516106,333,SOLE,4200,SH,4200,0,0
ICICI BANK LTD SPON ADR,ADR,45104G104,1873,SOLE,48959,SH,48959,0,0
INFOSYS LTD SP ADR,ADR,456788108,291,SOLE,7071,SH,7071,0,0
INTERCONTINENTALEXCHANGE INC,COMMON STOCK USD.01,45865V100,4360,SOLE,24530,SH,24530,0,0
INTUITIVE SURGICAL INC,COMMON STOCK USD.001,46120E602,333,SOLE,658,SH,658,0,0
INTUIT INC,COMMON STOCK USD.01,461202103,3454,SOLE,56597,SH,56597,0,0
KINDER MORGAN INC,COMMON STOCK USD.01,49456B101,3508,SOLE,91943,SH,91943,0,0
KYTHERA BIOPHARMACEUTICALS I,COMMON STOCK USD.00001,501570105,475,SOLE,17569,SH,17569,0,0
LAS VEGAS SANDS CORP,COMMON STOCK USD.001,517834107,2676,SOLE,50551,SH,50551,0,0
ESTEE LAUDER COMPANIES CL A,COMMON STOCK USD.01,518439104,2197,SOLE,33400,SH,33400,0,0
LIBERTY INTERACTIVE CORP A,COMMON STOCK USD.01,53071M104,3951,SOLE,171729,SH,171729,0,0
MARSH + MCLENNAN COS,COMMON STOCK USD1.,571748102,208,SOLE,5200,SH,5200,0,0
MASTERCARD INC CLASS A,COMMON STOCK USD.0001,57636Q104,2487,SOLE,4329,SH,4329,0,0
MCGRAW HILL FINANCIAL INC,COMMON STOCK USD1.,580645109,319,SOLE,6000,SH,6000,0,0
MERCK + CO. INC.,COMMON STOCK USD.5,58933Y105,1003,SOLE,21600,SH,21600,0,0
MORGAN STANLEY,COMMON STOCK USD.01,617446448,4655,SOLE,190561,SH,190561,0,0
NIKE INC  CL B,COMMON STOCK NPV,654106103,3642,SOLE,57188,SH,57188,0,0
NOBLE ENERGY INC,COMMON STOCK USD.01,655044105,2097,SOLE,34932,SH,34932,0,0
NUANCE COMMUNICATIONS INC,COMMON STOCK USD.001,67020Y100,3322,SOLE,180750,SH,180750,0,0
OREXIGEN THERAPEUTICS INC,COMMON STOCK USD.001,686164104,247,SOLE,42200,SH,42200,0,0
PFIZER INC W/D,COMMON STOCK USD.05,717081103,774,SOLE,27645,SH,27645,0,0
PRAXAIR INC,COMMON STOCK USD.01,74005P104,3055,SOLE,26524,SH,26524,0,0
PRICELINE.COM INC,COMMON STOCK USD.008,741503403,8985,SOLE,10863,SH,10863,0,0
PROGRESSIVE CORP,COMMON STOCK USD1.,743315103,2865,SOLE,112700,SH,112700,0,0
QUALCOMM INC,COMMON STOCK USD.0001,747525103,288,SOLE,4716,SH,4716,0,0
RUCKUS WIRELESS INC,COMMON STOCK,781220108,988,SOLE,77099,SH,77099,0,0
SPDR S+P MIDCAP 400 ETF TRUST,SPDR S+P MIDCAP 400 ETF TRST,78467Y107,1178,SOLE,5600,SH,5600,0,0
SALESFORCE.COM INC,COMMON STOCK USD.001,79466L302,12025,SOLE,314965,SH,314965,0,0
SOUTHWESTERN ENERGY CO,COMMON STOCK USD.01,845467109,2264,SOLE,61988,SH,61988,0,0
TARGA RESOURCES CORP,COMMON STOCK USD.001,87612G101,1276,SOLE,19833,SH,19833,0,0
TEARLAB CORP,COMMON STOCK USD.001,878193101,684,SOLE,64369,SH,64369,0,0
TERADATA CORP,COMMON STOCK USD.01,88076W103,2536,SOLE,50491,SH,50491,0,0
TEXAS INSTRUMENTS INC,COMMON STOCK USD1.,882508104,227,SOLE,6500,SH,6500,0,0
ULTA SALON COSMETICS + FRAGR,COMMON STOCK USD.01,90384S303,2717,SOLE,27127,SH,27127,0,0
VERIZON COMMUNICATIONS INC,COMMON STOCK USD.1,92343V104,893,SOLE,17735,SH,17735,0,0
VISA INC CLASS A SHARES,COMMON STOCK USD.0001,92826C839,13324,SOLE,72909,SH,72909,0,0
WALGREEN CO,COMMON STOCK USD.078125,931422109,3273,SOLE,74043,SH,74043,0,0
WELLS FARGO + CO,COMMON STOCK USD1.666,949746101,747,SOLE,18106,SH,18106,0,0
