nameOfIssuer,titleOfClass,cusip,value,investmentDiscretion,sshPrnamt,sshPrnamtType,Sole,Shared,None
LENDINGCLUB CORP,COMMON STOCK USD.01,52603A109,8096,SOLE,975443,SH,975443,0,0
ESTEE LAUDER COMPANIES CL A,COMMON STOCK USD.01,518439104,3150,SOLE,33400,SH,33400,0,0
EXXON MOBIL CORP,COMMON STOCK,30231G102,2821,SOLE,33750,SH,33750,0,0
SHUTTERSTOCK INC,COMMON STOCK USD.01,825690100,1982,SOLE,53963,SH,53963,0,0
AIR PRODUCTS + CHEMICALS INC,COMMON STOCK,009158106,1469,SOLE,10200,SH,10200,0,0
GENERAL ELECTRIC CO   W/D,COMMON STOCK USD.06,369604103,1274,SOLE,40075,SH,40075,0,0
MERCK + CO. INC.,COMMON STOCK USD.5,58933Y105,1143,SOLE,21600,SH,21600,0,0
VERIZON COMMUNICATIONS INC,COMMON STOCK USD.1,92343V104,959,SOLE,17735,SH,17735,0,0
WELLS FARGO + CO,COMMON STOCK USD1.666,949746101,876,SOLE,18106,SH,18106,0,0
COCA COLA CO/THE,COMMON STOCK USD.25,191216100,835,SOLE,18000,SH,18000,0,0
PFIZER INC,COMMON STOCK USD.05,717081103,819,SOLE,27645,SH,27645,0,0
AT+T INC,COMMON STOCK USD1.,00206R102,743,SOLE,18958,SH,18958,0,0
OPHTHOTECH CORP,COMMON STOCK USD.001,683745103,681,SOLE,16110,SH,16110,0,0
WALT DISNEY CO/THE,COMMON STOCK USD.01,254687106,596,SOLE,6001,SH,6001,0,0
S+P GLOBAL INC,COMMON STOCK,78409V104,594,SOLE,6000,SH,6000,0,0
HONEYWELL INTERNATIONAL INC,COMMON STOCK USD1.,438516106,471,SOLE,4200,SH,4200,0,0
ALIEN TECHNOLOGY CORPORATION,COMMON STOCK,017994914,423,SOLE,128205,SH,128205,0,0
VIPSHOP HOLDINGS LTD   ADR,ADR USD.0001,92763W103,395,SOLE,30678,SH,30678,0,0
TEXAS INSTRUMENTS INC,COMMON STOCK USD1.,882508104,373,SOLE,6500,SH,6500,0,0
MARSH + MCLENNAN COS,COMMON STOCK USD1.,571748102,316,SOLE,5200,SH,5200,0,0
DERMIRA INC,COMMON STOCK USD.001,24983L104,252,SOLE,12208,SH,12208,0,0
TEGNA INC,COMMON STOCK USD1.0,87901J105,216,SOLE,9200,SH,9200,0,0
ANADARKO PETROLEUM CORP,COMMON STOCK,032511107,214,SOLE,4602,SH,4602,0,0
NUPLANT LTD,COMMON STOCK,67099S919,200,SOLE,400000,SH,400000,0,0
