nameOfIssuer,titleOfClass,cusip,value,investmentDiscretion,sshPrnamt,sshPrnamtType,Sole,Shared,None
BERKSHIRE HATHAWAY INC CL B,COMMON STOCK,084670702,2328116,SOLE,5723,SH,5723,0,0
BLUE OWL CAPITAL CORP,COMMON STOCK,69121K104,34361242,SOLE,2237060,SH,2237060,0,0
BLUE OWL CAPITAL INC,COMMON STOCK,09581B103,141800614,SOLE,7988767,SH,7988767,0,0
ERASCA INC,COMMON STOCK,29479A108,557517,SOLE,236236,SH,236236,0,0
INTELLIA THERAPEUTICS INC,COMMON STOCK,45826J105,2625510,SOLE,117315,SH,117315,0,0
SANA BIOTECHNOLOGY INC,COMMON STOCK,799566104,853147,SOLE,156254,SH,156254,0,0
VERIZON COMMUNICATIONS INC,COMMON STOCK,92343V104,409389,SOLE,9927,SH,9927,0,0
