nameOfIssuer,titleOfClass,cusip,value,investmentDiscretion,sshPrnamt,sshPrnamtType,Sole,Shared,None
AIR PRODUCTS CHEMICALS INC,COMMON STOCK,009158106,2471154,SOLE,10200,SH,10200,0,0
AIRBNB INC CLASS A,COMMON STOCK,009066101,246813,SOLE,1496,SH,1496,0,0
ATT INC,COMMON STOCK,00206R102,381709,SOLE,21688,SH,21688,0,0
AUTOMATIC DATA PROCESSING,COMMON STOCK,053015103,387097,SOLE,1550,SH,1550,0,0
BERKSHIRE HATHAWAY INC CL B,COMMON STOCK,084670702,2406636,SOLE,5723,SH,5723,0,0
BLUE OWL CAPITAL CORP,COMMON STOCK,69121K104,155218405,SOLE,10092224,SH,10092224,0,0
BLUE OWL CAPITAL INC,COMMON STOCK,09581B103,150668146,SOLE,7988767,SH,7988767,0,0
COCA COLA CO/THE,COMMON STOCK,191216100,1101240,SOLE,18000,SH,18000,0,0
CONFLUENT INC CLASS A,COMMON STOCK,20717M103,842331,SOLE,27600,SH,27600,0,0
ERASCA INC,COMMON STOCK,29479A108,486646,SOLE,236236,SH,236236,0,0
ESTEE LAUDER COMPANIES CL A,COMMON STOCK,518439104,5148610,SOLE,33400,SH,33400,0,0
EXXON MOBIL CORP,COMMON STOCK,30231G102,3905664,SOLE,33600,SH,33600,0,0
GENERAL ELECTRIC CO,COMMON STOCK,369604301,879230,SOLE,5009,SH,5009,0,0
HONEYWELL INTERNATIONAL INC,COMMON STOCK,438516106,866771,SOLE,4223,SH,4223,0,0
INTELLIA THERAPEUTICS INC,COMMON STOCK,45826J105,3227336,SOLE,117315,SH,117315,0,0
MARSH MCLENNAN COS,COMMON STOCK,571748102,1071096,SOLE,5200,SH,5200,0,0
MERCK CO. INC.,COMMON STOCK,58933Y105,2850120,SOLE,21600,SH,21600,0,0
PFIZER INC,COMMON STOCK,717081103,767149,SOLE,27645,SH,27645,0,0
SP GLOBAL INC,COMMON STOCK,78409V104,2552700,SOLE,6000,SH,6000,0,0
SANA BIOTECHNOLOGY INC,COMMON STOCK,799566104,1562540,SOLE,156254,SH,156254,0,0
SPDR SP MIDCAP 400 ETF TRUST,MUTUAL FUNDS,78467Y107,3115840,SOLE,5600,SH,5600,0,0
TEXAS INSTRUMENTS INC,COMMON STOCK,882508104,1132365,SOLE,6500,SH,6500,0,0
UNITED PARCEL SERVICE CL B,COMMON STOCK,911312106,200651,SOLE,1350,SH,1350,0,0
VERIZON COMMUNICATIONS INC,COMMON STOCK,92343V104,744161,SOLE,17735,SH,17735,0,0
WALT DISNEY CO/THE,COMMON STOCK,254687106,734160,SOLE,6000,SH,6000,0,0
WELLS FARGO CO,COMMON STOCK,949746101,1049424,SOLE,18106,SH,18106,0,0
