nameOfIssuer,titleOfClass,cusip,value,investmentDiscretion,sshPrnamt,sshPrnamtType,Sole,Shared,None
AIRBNB INC CLASS A,COMMON STOCK,009066101,592,SOLE,5634,SH,5634,0,0
AUTOMATIC DATA PROCESSING,COMMON STOCK,053015103,352,SOLE,1558,SH,1558,0,0
AFFIRM HOLDINGS INC,COMMON STOCK,00827B106,935,SOLE,49842,SH,49842,0,0
AIR PRODUCTS CHEMICALS INC,COMMON STOCK,009158106,2374,SOLE,10200,SH,10200,0,0
BERKSHIRE HATHAWAY INC CL B,COMMON STOCK,084670702,2148,SOLE,8043,SH,8043,0,0
CALYXT INC,COMMON STOCK,13173L107,86,SOLE,501798,SH,501798,0,0
CARIBOU BIOSCIENCES INC,COMMON STOCK,142038108,956,SOLE,90652,SH,90652,0,0
DATADOG INC CLASS A,COMMON STOCK,23804L103,465,SOLE,5243,SH,5243,0,0
WALT DISNEY CO/THE,COMMON STOCK,254687106,566,SOLE,6000,SH,6000,0,0
ESTEE LAUDER COMPANIES CL A,COMMON STOCK,518439104,7211,SOLE,33400,SH,33400,0,0
ERASCA INC,COMMON STOCK,29479A108,3685,SOLE,472472,SH,472472,0,0
GENERAL ELECTRIC CO,COMMON STOCK,369604301,310,SOLE,5009,SH,5009,0,0
GREENLIGHT BIOSCIENCES HOLDI,COMMON STOCK,39536G105,460,SOLE,198310,SH,198310,0,0
HASHICORP INC CL A,COMMON STOCK,418100103,1003,SOLE,31170,SH,31170,0,0
HONEYWELL INTERNATIONAL INC,COMMON STOCK,438516106,705,SOLE,4223,SH,4223,0,0
IRONSOURCE LTD A,COMMON STOCK,M5R75Y101,11843,SOLE,3442629,SH,3442629,0,0
COCA COLA CO/THE,COMMON STOCK,191216100,1008,SOLE,18000,SH,18000,0,0
SPDR SP MIDCAP 400 ETF TRUST,MUTUAL FUNDS,78467Y107,2249,SOLE,5600,SH,5600,0,0
MARSH MCLENNAN COS,COMMON STOCK,571748102,776,SOLE,5200,SH,5200,0,0
MERCK CO. INC.,COMMON STOCK,58933Y105,1860,SOLE,21600,SH,21600,0,0
INTELLIA THERAPEUTICS INC,COMMON STOCK,45826J105,6236,SOLE,111440,SH,111440,0,0
ONCTERNAL THERAPEUTICS INC,COMMON STOCK,68236P107,48,SOLE,53554,SH,53554,0,0
OPENDOOR TECHNOLOGIES INC,COMMON STOCK,683712103,286,SOLE,91802,SH,91802,0,0
OWL ROCK CAPITAL CORP,COMMON STOCK,69121K104,280510,SOLE,27050119,SH,27050119,0,0
BLUE OWL CAPITAL INC,COMMON STOCK,09581B103,147841,SOLE,16017491,SH,16017491,0,0
PFIZER INC,COMMON STOCK,717081103,1210,SOLE,27645,SH,27645,0,0
RAPT THERAPEUTICS INC,COMMON STOCK,75382E109,2850,SOLE,118463,SH,118463,0,0
SANA BIOTECHNOLOGY INC,COMMON STOCK,799566104,938,SOLE,156254,SH,156254,0,0
SP GLOBAL INC,COMMON STOCK,78409V104,1832,SOLE,6000,SH,6000,0,0
ATT INC,COMMON STOCK,00206R102,333,SOLE,21688,SH,21688,0,0
TENAYA THERAPEUTICS INC,COMMON STOCK,87990A106,4718,SOLE,1626750,SH,1626750,0,0
TEXAS INSTRUMENTS INC,COMMON STOCK,882508104,1006,SOLE,6500,SH,6500,0,0
UNITED PARCEL SERVICE CL B,COMMON STOCK,911312106,218,SOLE,1350,SH,1350,0,0
VERIZON COMMUNICATIONS INC,COMMON STOCK,92343V104,673,SOLE,17735,SH,17735,0,0
WELLS FARGO CO,COMMON STOCK,949746101,728,SOLE,18106,SH,18106,0,0
ADVANCED DRAINAGE SYSTEMS IN,COMMON STOCK,00790R104,1303,SOLE,10482,SH,10482,0,0
EXXON MOBIL CORP,COMMON STOCK,30231G102,2934,SOLE,33600,SH,33600,0,0
