nameOfIssuer,titleOfClass,cusip,value,investmentDiscretion,sshPrnamt,sshPrnamtType,Sole,Shared,None
AON PLC,COMMON STOCK USD.01,G0408V102,1727,SOLE,23200,SH,23200,0,0
BUNGE LTD,COMMON STOCK USD.01,G16962105,585,SOLE,7700,SH,7700,0,0
COVIDIEN PLC,COMMON STOCK USD.2,G2554F113,1328,SOLE,21800,SH,21800,0,0
DELPHI AUTOMOTIVE PLC,COMMON STOCK USD.01,G27823106,935,SOLE,16000,SH,16000,0,0
LIBERTY GLOBAL PLC SERIES C,COMMON STOCK USD.01,G5480U120,2554,SOLE,33858,SH,33858,0,0
TE CONNECTIVITY LTD,COMMON STOCK CHF.57,H84989104,1056,SOLE,20400,SH,20400,0,0
AES CORP,COMMON STOCK USD.01,00130H105,618,SOLE,46500,SH,46500,0,0
AT+T INC,COMMON STOCK USD1.,00206R102,641,SOLE,18950,SH,18950,0,0
ACCELRYS INC,COMMON STOCK USD.0001,00430U103,103,SOLE,10467,SH,10467,0,0
ADOBE SYSTEMS INC,COMMON STOCK USD.0001,00724F101,2233,SOLE,43000,SH,43000,0,0
AIR PRODUCTS + CHEMICALS INC,COMMON STOCK USD1.,009158106,1087,SOLE,10200,SH,10200,0,0
ALLERGAN INC,COMMON STOCK USD.01,018490102,977,SOLE,10800,SH,10800,0,0
AMAZON.COM INC,COMMON STOCK USD.01,023135106,844,SOLE,2700,SH,2700,0,0
ANADARKO PETROLEUM CORP,COMMON STOCK USD.1,032511107,428,SOLE,4602,SH,4602,0,0
APACHE CORP,COMMON STOCK USD.625,037411105,613,SOLE,7200,SH,7200,0,0
WR BERKLEY CORP,COMMON STOCK USD.2,084423102,733,SOLE,17100,SH,17100,0,0
CHIMERIX INC,COMMON STOCK,16934W106,5055,SOLE,230000,SH,230000,0,0
CHIPOTLE MEXICAN GRILL INC,COMMON STOCK USD.01,169656105,986,SOLE,2300,SH,2300,0,0
COCA COLA CO/THE,COMMON STOCK USD.25,191216100,682,SOLE,18000,SH,18000,0,0
CROWN CASTLE INTL CORP,COMMON STOCK USD.01,228227104,723,SOLE,9900,SH,9900,0,0
DEERE + CO,COMMON STOCK USD1.,244199105,659,SOLE,8100,SH,8100,0,0
WALT DISNEY CO/THE,COMMON STOCK USD.01,254687106,387,SOLE,6000,SH,6000,0,0
EBAY INC,COMMON STOCK USD.001,278642103,1484,SOLE,26600,SH,26600,0,0
ECOLAB INC,COMMON STOCK USD1.,278865100,2321,SOLE,23500,SH,23500,0,0
GANNETT CO,COMMON STOCK USD1.,364730101,246,SOLE,9200,SH,9200,0,0
GENERAL DYNAMICS CORP,COMMON STOCK USD1.,369550108,910,SOLE,10400,SH,10400,0,0
GENERAL ELECTRIC CO,COMMON STOCK USD.06,369604103,957,SOLE,40075,SH,40075,0,0
GENERAL MILLS INC,COMMON STOCK USD.1,370334104,527,SOLE,11000,SH,11000,0,0
HALLIBURTON CO,COMMON STOCK USD2.5,406216101,1912,SOLE,39700,SH,39700,0,0
HANSEN MEDICAL INC,COMMON STOCK USD.0001,411307101,63,SOLE,35463,SH,35463,0,0
HONEYWELL INTERNATIONAL INC,COMMON STOCK USD1.,438516106,349,SOLE,4200,SH,4200,0,0
JOY GLOBAL INC,COMMON STOCK USD1.,481165108,704,SOLE,13800,SH,13800,0,0
KOHLS CORP,COMMON STOCK USD.01,500255104,869,SOLE,16800,SH,16800,0,0
KYTHERA BIOPHARMACEUTICALS I,COMMON STOCK USD.00001,501570105,1596,SOLE,34925,SH,34925,0,0
L BRANDS INC,COMMON STOCK USD.5,501797104,843,SOLE,13800,SH,13800,0,0
LAS VEGAS SANDS CORP,COMMON STOCK USD.001,517834107,744,SOLE,11200,SH,11200,0,0
ESTEE LAUDER COMPANIES CL A,COMMON STOCK USD.01,518439104,2335,SOLE,33400,SH,33400,0,0
LENNAR CORP A,COMMON STOCK USD.1,526057104,1066,SOLE,30100,SH,30100,0,0
LIMONEIRA CO,COMMON STOCK USD.01,532746104,216,SOLE,8400,SH,8400,0,0
LOEWS CORP,COMMON STOCK USD.01,540424108,1098,SOLE,23500,SH,23500,0,0
MARSH + MCLENNAN COS,COMMON STOCK USD1.,571748102,226,SOLE,5200,SH,5200,0,0
MCGRAW HILL FINANCIAL INC,COMMON STOCK USD1.,580645109,394,SOLE,6000,SH,6000,0,0
MORGAN STANLEY,COMMON STOCK USD.01,617446448,1132,SOLE,42000,SH,42000,0,0
