nameOfIssuer,titleOfClass,cusip,value,investmentDiscretion,sshPrnamt,sshPrnamtType,Sole,Shared,None
ATT INC,COMMON STOCK,00206R102,788,SOLE,18958,SH,18958,0,0
AIR PRODUCTS CHEMICALS INC,COMMON STOCK,009158106,1380,SOLE,10200,SH,10200,0,0
ANADARKO PETROLEUM CORP,COMMON STOCK,032511107,285,SOLE,4602,SH,4602,0,0
ANTERO RESOURCES CORP,COMMON STOCK,03674X106,333,SOLE,14584,SH,14584,0,0
CHINA BIOLOGIC PRODUCTS INC,COMMON STOCK,16938C106,421,SOLE,4200,SH,4200,0,0
CTRIP.COM INTERNATIONAL ADR,DEPOSITORY RECEIPTS,22943F100,1938,SOLE,39426,SH,39426,0,0
CYTOMX THERAPEUTICS INC,COMMON STOCK,23284F105,1219,SOLE,70584,SH,70584,0,0
WALT DISNEY CO/THE,COMMON STOCK,254687106,680,SOLE,6000,SH,6000,0,0
EXXON MOBIL CORP,COMMON STOCK,30231G102,2756,SOLE,33600,SH,33600,0,0
58.COM INC ADR,DEPOSITORY RECEIPTS,31680Q104,233,SOLE,6592,SH,6592,0,0
GENERAL ELECTRIC CO,COMMON STOCK,369604103,1194,SOLE,40075,SH,40075,0,0
HONEYWELL INTERNATIONAL INC,COMMON STOCK,438516106,527,SOLE,4223,SH,4223,0,0
LENDINGCLUB CORP,COMMON STOCK,52603A109,1785,SOLE,325147,SH,325147,0,0
MARSH MCLENNAN COS,COMMON STOCK,571748102,384,SOLE,5200,SH,5200,0,0
MERCK CO. INC.,COMMON STOCK,58933Y105,1372,SOLE,21600,SH,21600,0,0
PFIZER INC,COMMON STOCK,717081103,946,SOLE,27645,SH,27645,0,0
SP GLOBAL INC,COMMON STOCK,78409V104,784,SOLE,6000,SH,6000,0,0
SHUTTERSTOCK INC,COMMON STOCK,825690100,744,SOLE,17987,SH,17987,0,0
TEGNA INC,COMMON STOCK,87901J105,236,SOLE,9200,SH,9200,0,0
TEXAS INSTRUMENTS INC,COMMON STOCK,882508104,524,SOLE,6500,SH,6500,0,0
VERIZON COMMUNICATIONS INC,COMMON STOCK,92343V104,865,SOLE,17735,SH,17735,0,0
WELLS FARGO CO,COMMON STOCK,949746101,1008,SOLE,18106,SH,18106,0,0
