nameOfIssuer,titleOfClass,cusip,value,investmentDiscretion,sshPrnamt,sshPrnamtType,Sole,Shared,None
AIR PRODUCTS CHEMICALS INC,COMMON STOCK,009158106,2929542,SOLE,10200,SH,10200,0,0
AT T INC,COMMON STOCK,00206R102,417494,SOLE,21688,SH,21688,0,0
AUTOMATIC DATA PROCESSING,COMMON STOCK,053015103,345077,SOLE,1550,SH,1550,0,0
BERKSHIRE HATHAWAY INC CL B,COMMON STOCK,084670702,1767091,SOLE,5723,SH,5723,0,0
BLUE OWL CAPITAL INC,COMMON STOCK,09581B103,177473800,SOLE,16017491,SH,16017491,0,0
CALIFORNIA WATER SERVICE GRP,COMMON STOCK,130788102,212430,SOLE,3650,SH,3650,0,0
CALYXT INC,COMMON STOCK,13173L107,175629,SOLE,501798,SH,501798,0,0
CARIBOU BIOSCIENCES INC,COMMON STOCK,142038108,481362,SOLE,90652,SH,90652,0,0
COCA COLA CO/THE,COMMON STOCK,191216100,1116540,SOLE,18000,SH,18000,0,0
ERASCA INC,COMMON STOCK,29479A108,711070,SOLE,236236,SH,236236,0,0
ESTEE LAUDER COMPANIES CL A,COMMON STOCK,518439104,8231764,SOLE,33400,SH,33400,0,0
EXXON MOBIL CORP,COMMON STOCK,30231G102,3684576,SOLE,33600,SH,33600,0,0
GENERAL ELECTRIC CO,COMMON STOCK,369604301,478860,SOLE,5009,SH,5009,0,0
HONEYWELL INTERNATIONAL INC,COMMON STOCK,438516106,807100,SOLE,4223,SH,4223,0,0
INTELLIA THERAPEUTICS INC,COMMON STOCK,45826J105,4153369,SOLE,111440,SH,111440,0,0
MARSH MCLENNAN COS,COMMON STOCK,571748102,866060,SOLE,5200,SH,5200,0,0
MERCK CO. INC.,COMMON STOCK,58933Y105,2298024,SOLE,21600,SH,21600,0,0
ONCTERNAL THERAPEUTICS INC,COMMON STOCK,68236P107,42040,SOLE,53554,SH,53554,0,0
OWL ROCK CAPITAL CORP,COMMON STOCK,69121K104,319496644,SOLE,25336768,SH,25336768,0,0
PFIZER INC,COMMON STOCK,717081103,1127916,SOLE,27645,SH,27645,0,0
S P GLOBAL INC,COMMON STOCK,78409V104,2068620,SOLE,6000,SH,6000,0,0
SANA BIOTECHNOLOGY INC,COMMON STOCK,799566104,510951,SOLE,156254,SH,156254,0,0
SPDR S P MIDCAP 400 ETF TRUST,MUTUAL FUNDS,78467Y107,2567096,SOLE,5600,SH,5600,0,0
TENAYA THERAPEUTICS INC,COMMON STOCK,87990A106,2738727,SOLE,960957,SH,960957,0,0
TEXAS INSTRUMENTS INC,COMMON STOCK,882508104,1209065,SOLE,6500,SH,6500,0,0
UNITED PARCEL SERVICE CL B,COMMON STOCK,911312106,261887,SOLE,1350,SH,1350,0,0
VERIZON COMMUNICATIONS INC,COMMON STOCK,92343V104,689714,SOLE,17735,SH,17735,0,0
WALT DISNEY CO/THE,COMMON STOCK,254687106,600780,SOLE,6000,SH,6000,0,0
WELLS FARGO CO,COMMON STOCK,949746101,676802,SOLE,18106,SH,18106,0,0
