nameOfIssuer,titleOfClass,cusip,value,investmentDiscretion,sshPrnamt,sshPrnamtType,Sole,Shared,None
BLUE OWL CAPITAL INC,COMMON STOCK,09581B103,120071163,SOLE,5991575,SH,5991575,0,0
BROOKFIELD CORP,COMMON STOCK,11271J107,313733440,SOLE,5986137,SH,5986137,0,0
CENTESSA PHARMACEUTICALS ADR,DEPOSITORY RECEIPTS,152309100,1177492,SOLE,81884,SH,81884,0,0
ISHARES NASDAQ TOP 30 STOCKS E,MUTUAL FUNDS,46438G562,23866993,SOLE,1005773,SH,1005773,0,0
NU HOLDINGS LTD/CAYMAN ISL A,COMMON STOCK,G6683N103,7977132,SOLE,778855,SH,778855,0,0
SURROZEN INC,COMMON STOCK,86889P208,1553194,SOLE,133207,SH,133207,0,0
SURROZEN INC,WARRANTS,86889P117,2083,SOLE,83333,SH,83333,0,0
