nameOfIssuer,titleOfClass,cusip,value,investmentDiscretion,sshPrnamt,sshPrnamtType,Sole,Shared,None
AT T INC,COMMON STOCK,00206R102,806,SOLE,18958,SH,18958,0,0
AIR PRODUCTS  CHEMICALS INC,COMMON STOCK,009158106,1467,SOLE,10200,SH,10200,0,0
ANADARKO PETROLEUM CORP,COMMON STOCK,032511107,321,SOLE,4602,SH,4602,0,0
ANTERO RESOURCES CORP,COMMON STOCK,03674X106,690,SOLE,29167,SH,29167,0,0
BARRACUDA NETWORKS INC,COMMON STOCK,068323104,221,SOLE,10325,SH,10325,0,0
CHINA BIOLOGIC PRODUCTS INC,COMMON STOCK,16938C106,903,SOLE,8400,SH,8400,0,0
COCA COLA CO/THE,COMMON STOCK,191216100,746,SOLE,18000,SH,18000,0,0
CYTOMX THERAPEUTICS INC,COMMON STOCK,23284F105,524,SOLE,47666,SH,47666,0,0
WALT DISNEY CO/THE,COMMON STOCK,254687106,625,SOLE,6000,SH,6000,0,0
EXXON MOBIL CORP,COMMON STOCK,30231G102,3033,SOLE,33600,SH,33600,0,0
58.COM INC ADR,DEPOSITORY RECEIPTS,31680Q104,369,SOLE,13185,SH,13185,0,0
GENERAL ELECTRIC CO,COMMON STOCK,369604103,1266,SOLE,40075,SH,40075,0,0
GREEN DOT CORP CLASS A,COMMON STOCK,39304D102,580,SOLE,24629,SH,24629,0,0
HONEYWELL INTERNATIONAL INC,COMMON STOCK,438516106,487,SOLE,4200,SH,4200,0,0
JD.COM INC ADR,DEPOSITORY RECEIPTS,47215P106,1157,SOLE,45476,SH,45476,0,0
ESTEE LAUDER COMPANIES CL A,COMMON STOCK,518439104,2555,SOLE,33400,SH,33400,0,0
LENDINGCLUB CORP,COMMON STOCK,52603A109,4865,SOLE,926759,SH,926759,0,0
MARSH  MCLENNAN COS,COMMON STOCK,571748102,351,SOLE,5200,SH,5200,0,0
MERCK  CO. INC.,COMMON STOCK,58933Y105,1272,SOLE,21600,SH,21600,0,0
PFIZER INC,COMMON STOCK,717081103,898,SOLE,27645,SH,27645,0,0
S P GLOBAL INC,COMMON STOCK,78409V104,645,SOLE,6000,SH,6000,0,0
SHUTTERSTOCK INC,COMMON STOCK,825690100,1710,SOLE,35975,SH,35975,0,0
TEXAS INSTRUMENTS INC,COMMON STOCK,882508104,474,SOLE,6500,SH,6500,0,0
VERIZON COMMUNICATIONS INC,COMMON STOCK,92343V104,947,SOLE,17735,SH,17735,0,0
VIPSHOP HOLDINGS LTD   ADR,DEPOSITORY RECEIPTS,92763W103,225,SOLE,20452,SH,20452,0,0
WELLS FARGO  CO,COMMON STOCK,949746101,998,SOLE,18106,SH,18106,0,0
