nameOfIssuer,titleOfClass,cusip,value,investmentDiscretion,sshPrnamt,sshPrnamtType,Sole,Shared,None
AON PLC,COMMON STOCK USD.01,G0408V102,963,SOLE,10155,SH,10155,0,0
ENDO INTERNATIONAL PLC,COMMON STOCK USD.0001,G30401106,873,SOLE,12100,SH,12100,0,0
INVESCO LTD,COMMON STOCK USD.2,G491BT108,758,SOLE,19186,SH,19186,0,0
LIBERTY GLOBAL PLC SERIES C,COMMON STOCK USD.01,G5480U120,2857,SOLE,59132,SH,59132,0,0
LYONDELLBASELL INDU CL A,COMMON STOCK,N53745100,1088,SOLE,13700,SH,13700,0,0
NXP SEMICONDUCTORS NV,COMMON STOCK,N6596X109,837,SOLE,10949,SH,10949,0,0
SENSATA TECHNOLOGIES HOLDING,COMMON STOCK USD.01,N7902X106,618,SOLE,11800,SH,11800,0,0
FLEXTRONICS INTL LTD,COMMON STOCK NPV,Y2573F102,673,SOLE,60200,SH,60200,0,0
SCORPIO TANKERS INC,COMMON STOCK USD.01,Y7542C106,701,SOLE,80700,SH,80700,0,0
ADT CORP/THE,COMMON STOCK USD.01,00101J106,873,SOLE,24083,SH,24083,0,0
AT+T INC,COMMON STOCK USD1.,00206R102,637,SOLE,18958,SH,18958,0,0
ADOBE SYSTEMS INC,COMMON STOCK USD.0001,00724F101,1228,SOLE,16886,SH,16886,0,0
ADVANCE AUTO PARTS INC,COMMON STOCK USD.0001,00751Y106,1768,SOLE,11100,SH,11100,0,0
AIR PRODUCTS + CHEMICALS INC,COMMON STOCK USD1.,009158106,1471,SOLE,10200,SH,10200,0,0
ALIBABA GROUP HOLDING SP ADR,ADR USD.000025,01609W102,1507,SOLE,14500,SH,14500,0,0
ALLEGHANY CORP,COMMON STOCK USD1.,017175100,788,SOLE,1700,SH,1700,0,0
AMAZON.COM INC,COMMON STOCK USD.01,023135106,652,SOLE,2100,SH,2100,0,0
ANADARKO PETROLEUM CORP,COMMON STOCK USD.1,032511107,380,SOLE,4602,SH,4602,0,0
ARISTA NETWORKS INC,COMMON STOCK USD.0001,040413106,408,SOLE,6707,SH,6707,0,0
ATHENAHEALTH INC,COMMON STOCK USD.01,04685W103,1071,SOLE,7351,SH,7351,0,0
BAIDU INC   SPON ADR,ADR USD.00005,056752108,4680,SOLE,20529,SH,20529,0,0
BELDEN INC,COMMON STOCK USD.01,077454106,1072,SOLE,13600,SH,13600,0,0
BIOMARIN PHARMACEUTICAL INC,COMMON STOCK USD.001,09061G101,859,SOLE,9500,SH,9500,0,0
BIOGEN IDEC INC,COMMON STOCK USD.0005,09062X103,713,SOLE,2100,SH,2100,0,0
CST BRANDS INC,COMMON STOCK USD.01,12646R105,611,SOLE,14000,SH,14000,0,0
CARLISLE COS INC,COMMON STOCK USD1.,142339100,1155,SOLE,12800,SH,12800,0,0
CERNER CORP,COMMON STOCK USD.01,156782104,750,SOLE,11600,SH,11600,0,0
COCA COLA CO/THE,COMMON STOCK USD.25,191216100,760,SOLE,18000,SH,18000,0,0
CONSTELLATION BRANDS INC A,COMMON STOCK USD.01,21036P108,737,SOLE,7507,SH,7507,0,0
CTRIP.COM INTERNATIONAL ADR,ADR USD.01,22943F100,814,SOLE,17900,SH,17900,0,0
WALT DISNEY CO/THE,COMMON STOCK USD.01,254687106,565,SOLE,6000,SH,6000,0,0
ECOLAB INC,COMMON STOCK USD1.,278865100,1136,SOLE,10869,SH,10869,0,0
EXXON MOBIL CORP,COMMON STOCK NPV,30231G102,3107,SOLE,33612,SH,33612,0,0
FMC TECHNOLOGIES INC,COMMON STOCK USD.01,30249U101,632,SOLE,13500,SH,13500,0,0
FACEBOOK INC A,COMMON STOCK USD.000006,30303M102,913,SOLE,11700,SH,11700,0,0
58.COM INC ADR,ADR,31680Q104,970,SOLE,23350,SH,23350,0,0
FISERV INC,COMMON STOCK USD.01,337738108,1483,SOLE,20900,SH,20900,0,0
GATX CORP,COMMON STOCK USD.625,361448103,834,SOLE,14500,SH,14500,0,0
GANNETT CO,COMMON STOCK USD1.,364730101,294,SOLE,9200,SH,9200,0,0
GENERAL ELECTRIC CO,COMMON STOCK USD.06,369604103,1013,SOLE,40075,SH,40075,0,0
GREEN DOT CORP CLASS A,COMMON STOCK USD.001,39304D102,2946,SOLE,143775,SH,143775,0,0
HALLIBURTON CO,COMMON STOCK USD2.5,406216101,1696,SOLE,43123,SH,43123,0,0
HONEYWELL INTERNATIONAL INC,COMMON STOCK USD1.,438516106,420,SOLE,4200,SH,4200,0,0
ICICI BANK LTD SPON ADR,ADR,45104G104,1005,SOLE,87000,SH,87000,0,0
ILLUMINA INC,COMMON STOCK USD.01,452327109,1218,SOLE,6600,SH,6600,0,0
ITC HOLDINGS CORP,COMMON STOCK NPV,465685105,673,SOLE,16634,SH,16634,0,0
KANSAS CITY SOUTHERN,COMMON STOCK USD.01,485170302,781,SOLE,6400,SH,6400,0,0
LAS VEGAS SANDS CORP,COMMON STOCK USD.001,517834107,725,SOLE,12462,SH,12462,0,0
ESTEE LAUDER COMPANIES CL A,COMMON STOCK USD.01,518439104,2545,SOLE,33400,SH,33400,0,0
LIMONEIRA CO,COMMON STOCK USD.01,532746104,210,SOLE,8400,SH,8400,0,0
LULULEMON ATHLETICA INC,COMMON STOCK USD.005,550021109,792,SOLE,14200,SH,14200,0,0
MACROGENICS INC,COMMON STOCK USD.01,556099109,963,SOLE,27468,SH,27468,0,0
MARSH + MCLENNAN COS,COMMON STOCK USD1.,571748102,298,SOLE,5200,SH,5200,0,0
MATTEL INC,COMMON STOCK USD1.,577081102,925,SOLE,29900,SH,29900,0,0
MAXIM INTEGRATED PRODUCTS,COMMON STOCK USD.001,57772K101,749,SOLE,23500,SH,23500,0,0
MCGRAW HILL FINANCIAL INC,COMMON STOCK USD1.,580645109,534,SOLE,6000,SH,6000,0,0
MERCK + CO. INC.,COMMON STOCK USD.5,58933Y105,1227,SOLE,21600,SH,21600,0,0
MOHAWK INDUSTRIES INC,COMMON STOCK USD.01,608190104,653,SOLE,4200,SH,4200,0,0
MONDELEZ INTERNATIONAL INC A,COMMON STOCK NPV,609207105,1307,SOLE,35974,SH,35974,0,0
MONSANTO CO,COMMON STOCK USD.01,61166W101,2760,SOLE,23100,SH,23100,0,0
NATIONAL OILWELL VARCO INC,COMMON STOCK USD.01,637071101,1334,SOLE,20353,SH,20353,0,0
NEWFIELD EXPLORATION CO,COMMON STOCK USD.01,651290108,722,SOLE,26615,SH,26615,0,0
NOBLE ENERGY INC,COMMON STOCK USD.01,655044105,748,SOLE,15768,SH,15768,0,0
