nameOfIssuer,titleOfClass,cusip,value,investmentDiscretion,sshPrnamt,sshPrnamtType,Sole,Shared,None
AIRBNB INC CLASS A,COMMON STOCK,009066101,5045,SOLE,30302,SH,30302,0,0
AUTOMATIC DATA PROCESSING,COMMON STOCK,053015103,382,SOLE,1550,SH,1550,0,0
AFFIRM HOLDINGS INC,COMMON STOCK,00827B106,5314,SOLE,52842,SH,52842,0,0
AIR PRODUCTS  CHEMICALS INC,COMMON STOCK,009158106,3103,SOLE,10200,SH,10200,0,0
ARVINAS INC,COMMON STOCK,04335A105,7522,SOLE,91576,SH,91576,0,0
ALIBABA GROUP HOLDING SP ADR,DEPOSITORY RECEIPTS,01609W102,54932,SOLE,462431,SH,462431,0,0
BERKSHIRE HATHAWAY INC CL B,COMMON STOCK,084670702,2405,SOLE,8043,SH,8043,0,0
CALYXT INC,COMMON STOCK,13173L107,1069,SOLE,501798,SH,501798,0,0
CYTOMX THERAPEUTICS INC,COMMON STOCK,23284F105,162,SOLE,37500,SH,37500,0,0
DOORDASH INC   A,COMMON STOCK,25809K105,1651,SOLE,11089,SH,11089,0,0
DATADOG INC   CLASS A,COMMON STOCK,23804L103,373,SOLE,2097,SH,2097,0,0
WALT DISNEY CO/THE,COMMON STOCK,254687106,929,SOLE,6000,SH,6000,0,0
EVENTBRITE INC CLASS A,COMMON STOCK,29975E109,314,SOLE,17992,SH,17992,0,0
ESTEE LAUDER COMPANIES CL A,COMMON STOCK,518439104,12365,SOLE,33400,SH,33400,0,0
GENERAL ELECTRIC CO,COMMON STOCK,369604301,473,SOLE,5009,SH,5009,0,0
HONEYWELL INTERNATIONAL INC,COMMON STOCK,438516106,881,SOLE,4223,SH,4223,0,0
IRONSOURCE LTD A,COMMON STOCK,M5R75Y101,61920,SOLE,8000000,SH,8000000,0,0
COCA COLA CO/THE,COMMON STOCK,191216100,1066,SOLE,18000,SH,18000,0,0
SPDR SP MIDCAP 400 ETF TRUST,MUTUAL FUNDS,78467Y107,2899,SOLE,5600,SH,5600,0,0
MARSH  MCLENNAN COS,COMMON STOCK,571748102,904,SOLE,5200,SH,5200,0,0
MERCK  CO. INC.,COMMON STOCK,58933Y105,1655,SOLE,21600,SH,21600,0,0
NURIX THERAPEUTICS INC,COMMON STOCK,67080M103,5910,SOLE,204123,SH,204123,0,0
INTELLIA THERAPEUTICS INC,COMMON STOCK,45826J105,13177,SOLE,111440,SH,111440,0,0
1LIFE HEALTHCARE INC,COMMON STOCK,68269G107,858,SOLE,48861,SH,48861,0,0
OPENDOOR TECHNOLOGIES INC,COMMON STOCK,683712103,17858,SOLE,1222306,SH,1222306,0,0
OWL ROCK CAPITAL CORP,COMMON STOCK,69121K104,455355,SOLE,32157815,SH,32157815,0,0
ORIC PHARMACEUTICALS INC,COMMON STOCK,68622P109,2180,SOLE,148322,SH,148322,0,0
PINDUODUO INC ADR,DEPOSITORY RECEIPTS,722304102,1967,SOLE,33734,SH,33734,0,0
PFIZER INC,COMMON STOCK,717081103,1632,SOLE,27645,SH,27645,0,0
QUANTUMSCAPE CORP,COMMON STOCK,74767V109,3303,SOLE,148850,SH,148850,0,0
RAPT THERAPEUTICS INC,COMMON STOCK,75382E109,16294,SOLE,443619,SH,443619,0,0
SANA BIOTECHNOLOGY INC,COMMON STOCK,799566104,5999,SOLE,387508,SH,387508,0,0
SP GLOBAL INC,COMMON STOCK,78409V104,2832,SOLE,6000,SH,6000,0,0
ATT INC,COMMON STOCK,00206R102,534,SOLE,21688,SH,21688,0,0
TEXAS INSTRUMENTS INC,COMMON STOCK,882508104,1225,SOLE,6500,SH,6500,0,0
UNITY SOFTWARE INC,COMMON STOCK,91332U101,15031,SOLE,105117,SH,105117,0,0
UNITED PARCEL SERVICE CL B,COMMON STOCK,911312106,289,SOLE,1350,SH,1350,0,0
VERIZON COMMUNICATIONS INC,COMMON STOCK,92343V104,922,SOLE,17735,SH,17735,0,0
WELLS FARGO  CO,COMMON STOCK,949746101,869,SOLE,18106,SH,18106,0,0
EXXON MOBIL CORP,COMMON STOCK,30231G102,2056,SOLE,33600,SH,33600,0,0
