nameOfIssuer,titleOfClass,cusip,value,investmentDiscretion,sshPrnamt,sshPrnamtType,Sole,Shared,None
TRITON INTERNATIONAL LTD/BER,COMMON STOCK,G9078F107,721,SOLE,19250,SH,19250,0,0
ATT INC,COMMON STOCK,00206R102,737,SOLE,18958,SH,18958,0,0
AIR PRODUCTS CHEMICALS INC,COMMON STOCK,009158106,1674,SOLE,10200,SH,10200,0,0
ANADARKO PETROLEUM CORP,COMMON STOCK,032511107,247,SOLE,4602,SH,4602,0,0
COCA COLA CO/THE,COMMON STOCK,191216100,826,SOLE,18000,SH,18000,0,0
CTRIP.COM INTERNATIONAL ADR,COMMON STOCK,22943F100,1972,SOLE,44716,SH,44716,0,0
WALT DISNEY CO/THE,COMMON STOCK,254687106,645,SOLE,6000,SH,6000,0,0
EXXON MOBIL CORP,COMMON STOCK,30231G102,2810,SOLE,33600,SH,33600,0,0
GENERAL ELECTRIC CO,COMMON STOCK,369604103,699,SOLE,40075,SH,40075,0,0
GLOBAL BLOOD THERAPEUTICS IN,COMMON STOCK,37890U108,548,SOLE,13928,SH,13928,0,0
HONEYWELL INTERNATIONAL INC,COMMON STOCK,438516106,648,SOLE,4223,SH,4223,0,0
INTELLIA THERAPEUTICS INC,COMMON STOCK,45826J105,10079,SOLE,524423,SH,524423,0,0
ISHARES JP MORGAN USD EMERGING,COMMON STOCK,464288281,26632,SOLE,229390,SH,229390,0,0
ESTEE LAUDER COMPANIES CL A,COMMON STOCK,518439104,4250,SOLE,33400,SH,33400,0,0
MARSH MCLENNAN COS,COMMON STOCK,571748102,423,SOLE,5200,SH,5200,0,0
MERCK CO. INC.,COMMON STOCK,58933Y105,1215,SOLE,21600,SH,21600,0,0
OKTA INC,COMMON STOCK,679295105,1537,SOLE,60000,SH,60000,0,0
OPHTHOTECH CORP,COMMON STOCK,683745103,50,SOLE,16110,SH,16110,0,0
PFIZER INC,COMMON STOCK,717081103,1001,SOLE,27645,SH,27645,0,0
QUANTENNA COMMUNICATIONS INC,COMMON STOCK,74766D100,362,SOLE,29679,SH,29679,0,0
SP GLOBAL INC,COMMON STOCK,78409V104,1016,SOLE,6000,SH,6000,0,0
SPDR SP MIDCAP 400 ETF TRUST,ETF,78467Y107,1934,SOLE,5600,SH,5600,0,0
SQUARE INC   A,COMMON STOCK,852234103,3592,SOLE,103593,SH,103593,0,0
TEXAS INSTRUMENTS INC,COMMON STOCK,882508104,679,SOLE,6500,SH,6500,0,0
VERIZON COMMUNICATIONS INC,COMMON STOCK,92343V104,939,SOLE,17735,SH,17735,0,0
WELLS FARGO  CO,COMMON STOCK,949746101,1098,SOLE,18106,SH,18106,0,0
