nameOfIssuer,titleOfClass,cusip,value,investmentDiscretion,sshPrnamt,sshPrnamtType,Sole,Shared,None
AON PLC,COMMON STOCK USD.01,G0408V102,4031,SOLE,44749,SH,44749,0,0
COVIDIEN PLC,COMMON STOCK USD.2,G2554F113,2522,SOLE,27971,SH,27971,0,0
INVESCO LTD,COMMON STOCK USD.2,G491BT108,2118,SOLE,56109,SH,56109,0,0
JAZZ PHARMACEUTICALS PLC,COMMON STOCK USD.0001,G50871105,2129,SOLE,14480,SH,14480,0,0
LIBERTY GLOBAL PLC SERIES C,COMMON STOCK USD.01,G5480U120,6700,SOLE,158357,SH,158357,0,0
TE CONNECTIVITY LTD,COMMON STOCK CHF.57,H84989104,2102,SOLE,33994,SH,33994,0,0
TYCO INTERNATIONAL LTD,COMMON STOCK CHF6.7,H89128104,2934,SOLE,64342,SH,64342,0,0
NXP SEMICONDUCTORS NV,COMMON STOCK,N6596X109,4030,SOLE,60900,SH,60900,0,0
ADT CORP/THE,COMMON STOCK USD.01,00101J106,2278,SOLE,65201,SH,65201,0,0
AGCO CORP,COMMON STOCK USD.01,001084102,1857,SOLE,33038,SH,33038,0,0
AT+T INC,COMMON STOCK USD1.,00206R102,670,SOLE,18958,SH,18958,0,0
ADOBE SYSTEMS INC,COMMON STOCK USD.0001,00724F101,3854,SOLE,53263,SH,53263,0,0
AIR PRODUCTS + CHEMICALS INC,COMMON STOCK USD1.,009158106,1312,SOLE,10200,SH,10200,0,0
ANADARKO PETROLEUM CORP,COMMON STOCK USD.1,032511107,504,SOLE,4602,SH,4602,0,0
ATHENAHEALTH INC,COMMON STOCK USD.01,04685W103,1955,SOLE,15625,SH,15625,0,0
BAIDU INC   SPON ADR,ADR USD.00005,056752108,5768,SOLE,30876,SH,30876,0,0
BOISE CASCADE CO,COMMON STOCK USD.01,09739D100,1702,SOLE,59422,SH,59422,0,0
CARBO CERAMICS INC,COMMON STOCK USD.01,140781105,2117,SOLE,13733,SH,13733,0,0
CHIMERIX INC,COMMON STOCK,16934W106,1554,SOLE,70818,SH,70818,0,0
CHIPOTLE MEXICAN GRILL INC,COMMON STOCK USD.01,169656105,2497,SOLE,4214,SH,4214,0,0
COCA COLA CO/THE,COMMON STOCK USD.25,191216100,762,SOLE,18000,SH,18000,0,0
COMCAST CORP SPECIAL CL A,COMMON STOCK USD.01,20030N200,2144,SOLE,40207,SH,40207,0,0
COMMONWEALTH REIT,REIT USD.01,203233101,3890,SOLE,147801,SH,147801,0,0
CONSTELLATION BRANDS INC A,COMMON STOCK USD.01,21036P108,1900,SOLE,21554,SH,21554,0,0
COTY INC CL A,COMMON STOCK USD.01,222070203,1873,SOLE,109352,SH,109352,0,0
COUPONS.COM INC,COMMON STOCK USD.00001,22265J102,2218,SOLE,84300,SH,84300,0,0
DEERE + CO,COMMON STOCK USD1.,244199105,2060,SOLE,22753,SH,22753,0,0
DIEBOLD INC,COMMON STOCK USD1.25,253651103,1916,SOLE,47687,SH,47687,0,0
DINEEQUITY INC,COMMON STOCK USD.01,254423106,2726,SOLE,34295,SH,34295,0,0
WALT DISNEY CO/THE,COMMON STOCK USD.01,254687106,514,SOLE,6000,SH,6000,0,0
EBAY INC,COMMON STOCK USD.001,278642103,2732,SOLE,54577,SH,54577,0,0
ECOLAB INC,COMMON STOCK USD1.,278865100,5698,SOLE,51180,SH,51180,0,0
EQUIFAX INC,COMMON STOCK USD1.25,294429105,1837,SOLE,25329,SH,25329,0,0
EXXON MOBIL CORP,COMMON STOCK NPV,30231G102,3383,SOLE,33600,SH,33600,0,0
FIREEYE INC,COMMON STOCK USD.0001,31816Q101,373,SOLE,9208,SH,9208,0,0
GANNETT CO,COMMON STOCK USD1.,364730101,288,SOLE,9200,SH,9200,0,0
GENERAL DYNAMICS CORP,COMMON STOCK USD1.,369550108,2683,SOLE,23019,SH,23019,0,0
GENERAL ELECTRIC CO,COMMON STOCK USD.06,369604103,1053,SOLE,40075,SH,40075,0,0
HALLIBURTON CO,COMMON STOCK USD2.5,406216101,7132,SOLE,100435,SH,100435,0,0
HANESBRANDS INC,COMMON STOCK USD.01,410345102,2142,SOLE,21763,SH,21763,0,0
HESS CORP,COMMON STOCK USD1.,42809H107,2337,SOLE,23628,SH,23628,0,0
HONEYWELL INTERNATIONAL INC,COMMON STOCK USD1.,438516106,390,SOLE,4200,SH,4200,0,0
JOY GLOBAL INC,COMMON STOCK USD1.,481165108,2861,SOLE,46463,SH,46463,0,0
K12 INC,COMMON STOCK USD.0001,48273U102,2065,SOLE,85784,SH,85784,0,0
KOHLS CORP,COMMON STOCK USD.01,500255104,2180,SOLE,41385,SH,41385,0,0
LAS VEGAS SANDS CORP,COMMON STOCK USD.001,517834107,3074,SOLE,40330,SH,40330,0,0
ESTEE LAUDER COMPANIES CL A,COMMON STOCK USD.01,518439104,2480,SOLE,33400,SH,33400,0,0
LENNAR CORP A,COMMON STOCK USD.1,526057104,2561,SOLE,61010,SH,61010,0,0
LINKEDIN CORP   A,COMMON STOCK USD.0001,53578A108,2258,SOLE,13167,SH,13167,0,0
MSCI INC,COMMON STOCK USD.01,55354G100,2356,SOLE,51395,SH,51395,0,0
MARSH + MCLENNAN COS,COMMON STOCK USD1.,571748102,269,SOLE,5200,SH,5200,0,0
MCGRAW HILL FINANCIAL INC,COMMON STOCK USD1.,580645109,498,SOLE,6000,SH,6000,0,0
MELCO CROWN ENTERTAINME ADR,ADR USD.01,585464100,3242,SOLE,90783,SH,90783,0,0
MERCK + CO. INC.,COMMON STOCK USD.5,58933Y105,1250,SOLE,21600,SH,21600,0,0
MORGAN STANLEY,COMMON STOCK USD.01,617446448,2861,SOLE,88507,SH,88507,0,0
NATIONAL FUEL GAS CO,COMMON STOCK USD1.,636180101,2171,SOLE,27721,SH,27721,0,0
NATIONAL OILWELL VARCO INC,COMMON STOCK USD.01,637071101,2607,SOLE,31658,SH,31658,0,0
NOBLE ENERGY INC,COMMON STOCK USD.01,655044105,3058,SOLE,39480,SH,39480,0,0
OPHTHOTECH CORP,COMMON STOCK USD.001,683745103,1363,SOLE,32220,SH,32220,0,0
ORACLE CORP,COMMON STOCK USD.01,68389X105,5500,SOLE,135706,SH,135706,0,0
OSHKOSH CORP,COMMON STOCK USD.01,688239201,2170,SOLE,39080,SH,39080,0,0
PFIZER INC W/D,COMMON STOCK USD.05,717081103,821,SOLE,27645,SH,27645,0,0
PRICELINE GROUP INC/THE,COMMON STOCK USD.008,741503403,4438,SOLE,3689,SH,3689,0,0
PRIMERICA INC,COMMON STOCK,74164M108,2164,SOLE,45224,SH,45224,0,0
REGENERON PHARMACEUTICALS,COMMON STOCK USD.001,75886F107,1808,SOLE,6400,SH,6400,0,0
SPDR S+P MIDCAP 400 ETF TRUST,SPDR S+P MIDCAP 400 ETF TRST,78467Y107,1459,SOLE,5600,SH,5600,0,0
SALESFORCE.COM INC,COMMON STOCK USD.001,79466L302,3794,SOLE,65326,SH,65326,0,0
SOUTHWESTERN ENERGY CO,COMMON STOCK USD.01,845467109,2137,SOLE,46971,SH,46971,0,0
TAIWAN SEMICONDUCTOR SP ADR,ADR,874039100,2502,SOLE,116979,SH,116979,0,0
TEXAS INSTRUMENTS INC,COMMON STOCK USD1.,882508104,311,SOLE,6500,SH,6500,0,0
TWENTY FIRST CENTURY FOX   B,COMMON STOCK USD.01,90130A200,2895,SOLE,84582,SH,84582,0,0
TWITTER INC,COMMON STOCK USD.000005,90184L102,983,SOLE,23996,SH,23996,0,0
VERIFONE SYSTEMS INC,COMMON STOCK USD.01,92342Y109,2139,SOLE,58206,SH,58206,0,0
VERIZON COMMUNICATIONS INC,COMMON STOCK USD.1,92343V104,868,SOLE,17735,SH,17735,0,0
VISA INC CLASS A SHARES,COMMON STOCK USD.0001,92826C839,4620,SOLE,21928,SH,21928,0,0
WALGREEN CO,COMMON STOCK USD.078125,931422109,2802,SOLE,37800,SH,37800,0,0
WELLS FARGO + CO,COMMON STOCK USD1.666,949746101,952,SOLE,18106,SH,18106,0,0
WESTERN UNION CO,COMMON STOCK USD.01,959802109,2933,SOLE,169163,SH,169163,0,0
