nameOfIssuer,titleOfClass,cusip,value,investmentDiscretion,sshPrnamt,sshPrnamtType,Sole,Shared,None
AON PLC,COMMON STOCK USD.01,G0408V102,3809,SOLE,43449,SH,43449,0,0
INVESCO LTD,COMMON STOCK USD.2,G491BT108,2101,SOLE,53209,SH,53209,0,0
LIBERTY GLOBAL PLC SERIES C,COMMON STOCK USD.01,G5480U120,6265,SOLE,152757,SH,152757,0,0
TE CONNECTIVITY LTD,COMMON STOCK CHF.57,H84989104,1924,SOLE,34794,SH,34794,0,0
NXP SEMICONDUCTORS NV,COMMON STOCK,N6596X109,3216,SOLE,47000,SH,47000,0,0
ADT CORP/THE,COMMON STOCK USD.01,00101J106,3025,SOLE,85301,SH,85301,0,0
AGCO CORP,COMMON STOCK USD.01,001084102,1993,SOLE,43838,SH,43838,0,0
AT+T INC,COMMON STOCK USD1.,00206R102,668,SOLE,18958,SH,18958,0,0
ADOBE SYSTEMS INC,COMMON STOCK USD.0001,00724F101,4439,SOLE,64163,SH,64163,0,0
AIR PRODUCTS + CHEMICALS INC,COMMON STOCK USD1.,009158106,1328,SOLE,10200,SH,10200,0,0
ANADARKO PETROLEUM CORP,COMMON STOCK USD.1,032511107,467,SOLE,4602,SH,4602,0,0
ATHENAHEALTH INC,COMMON STOCK USD.01,04685W103,2097,SOLE,15925,SH,15925,0,0
BAIDU INC   SPON ADR,ADR USD.00005,056752108,7633,SOLE,34976,SH,34976,0,0
CARBO CERAMICS INC,COMMON STOCK USD.01,140781105,1429,SOLE,24133,SH,24133,0,0
CHIMERIX INC,COMMON STOCK,16934W106,447,SOLE,16197,SH,16197,0,0
CHIPOTLE MEXICAN GRILL INC,COMMON STOCK USD.01,169656105,2742,SOLE,4114,SH,4114,0,0
CLEAN HARBORS INC,COMMON STOCK USD.01,184496107,1790,SOLE,33200,SH,33200,0,0
COCA COLA CO/THE,COMMON STOCK USD.25,191216100,768,SOLE,18000,SH,18000,0,0
COMCAST CORP SPECIAL CL A,COMMON STOCK USD.01,20030N200,2065,SOLE,38607,SH,38607,0,0
CONSTELLATION BRANDS INC A,COMMON STOCK USD.01,21036P108,1800,SOLE,20654,SH,20654,0,0
COTY INC CL A,COMMON STOCK USD.01,222070203,1760,SOLE,106352,SH,106352,0,0
DEERE + CO,COMMON STOCK USD1.,244199105,1931,SOLE,23553,SH,23553,0,0
DIEBOLD INC,COMMON STOCK USD1.25,253651103,2034,SOLE,57587,SH,57587,0,0
DINEEQUITY INC,COMMON STOCK USD.01,254423106,2806,SOLE,34395,SH,34395,0,0
WALT DISNEY CO/THE,COMMON STOCK USD.01,254687106,534,SOLE,6000,SH,6000,0,0
EBAY INC,COMMON STOCK USD.001,278642103,1998,SOLE,35277,SH,35277,0,0
ECOLAB INC,COMMON STOCK USD1.,278865100,5578,SOLE,48580,SH,48580,0,0
EQUIFAX INC,COMMON STOCK USD1.25,294429105,2028,SOLE,27129,SH,27129,0,0
EXXON MOBIL CORP,COMMON STOCK NPV,30231G102,3160,SOLE,33600,SH,33600,0,0
FIREEYE INC,COMMON STOCK USD.0001,31816Q101,281,SOLE,9208,SH,9208,0,0
FIVE PRIME THERAPEUTICS INC,COMMON STOCK USD.001,33830X104,261,SOLE,22214,SH,22214,0,0
GANNETT CO,COMMON STOCK USD1.,364730101,273,SOLE,9200,SH,9200,0,0
GENERAL ELECTRIC CO,COMMON STOCK USD.06,369604103,1027,SOLE,40075,SH,40075,0,0
HALLIBURTON CO,COMMON STOCK USD2.5,406216101,6660,SOLE,103235,SH,103235,0,0
HANESBRANDS INC,COMMON STOCK USD.01,410345102,2521,SOLE,23463,SH,23463,0,0
HILLTOP HOLDINGS INC,COMMON STOCK USD.01,432748101,1788,SOLE,89200,SH,89200,0,0
HONEYWELL INTERNATIONAL INC,COMMON STOCK USD1.,438516106,391,SOLE,4200,SH,4200,0,0
ICONIX BRAND GROUP INC,COMMON STOCK USD.001,451055107,1625,SOLE,44000,SH,44000,0,0
ITC HOLDINGS CORP,COMMON STOCK NPV,465685105,2508,SOLE,70400,SH,70400,0,0
JOY GLOBAL INC,COMMON STOCK USD1.,481165108,3003,SOLE,55063,SH,55063,0,0
KOHLS CORP,COMMON STOCK USD.01,500255104,2172,SOLE,35585,SH,35585,0,0
LAS VEGAS SANDS CORP,COMMON STOCK USD.001,517834107,1912,SOLE,30730,SH,30730,0,0
ESTEE LAUDER COMPANIES CL A,COMMON STOCK USD.01,518439104,2496,SOLE,33400,SH,33400,0,0
LENNAR CORP A,COMMON STOCK USD.1,526057104,2163,SOLE,55710,SH,55710,0,0
LINKEDIN CORP   A,COMMON STOCK USD.0001,53578A108,2694,SOLE,12967,SH,12967,0,0
MSCI INC,COMMON STOCK USD.01,55354G100,2379,SOLE,50595,SH,50595,0,0
MARSH + MCLENNAN COS,COMMON STOCK USD1.,571748102,272,SOLE,5200,SH,5200,0,0
MARTIN MARIETTA MATERIALS,COMMON STOCK USD.01,573284106,2076,SOLE,16100,SH,16100,0,0
MCGRAW HILL FINANCIAL INC,COMMON STOCK USD1.,580645109,507,SOLE,6000,SH,6000,0,0
MERCK + CO. INC.,COMMON STOCK USD.5,58933Y105,1280,SOLE,21600,SH,21600,0,0
MICROSOFT CORP,COMMON STOCK USD.00000625,594918104,3455,SOLE,74525,SH,74525,0,0
MONDELEZ INTERNATIONAL INC A,COMMON STOCK NPV,609207105,2686,SOLE,78400,SH,78400,0,0
MORGAN STANLEY,COMMON STOCK USD.01,617446448,3118,SOLE,90207,SH,90207,0,0
NATIONAL FUEL GAS CO,COMMON STOCK USD1.,636180101,2185,SOLE,31221,SH,31221,0,0
NATIONAL OILWELL VARCO INC,COMMON STOCK USD.01,637071101,3771,SOLE,49558,SH,49558,0,0
NEWFIELD EXPLORATION CO,COMMON STOCK USD.01,651290108,1909,SOLE,51500,SH,51500,0,0
NOBLE ENERGY INC,COMMON STOCK USD.01,655044105,2781,SOLE,40680,SH,40680,0,0
OPHTHOTECH CORP,COMMON STOCK USD.001,683745103,1254,SOLE,32220,SH,32220,0,0
ORACLE CORP,COMMON STOCK USD.01,68389X105,5176,SOLE,135206,SH,135206,0,0
OSHKOSH CORP,COMMON STOCK USD.01,688239201,1774,SOLE,40180,SH,40180,0,0
PFIZER INC,COMMON STOCK USD.05,717081103,817,SOLE,27645,SH,27645,0,0
PHILLIPS 66,COMMON STOCK,718546104,2000,SOLE,24600,SH,24600,0,0
PRICELINE GROUP INC/THE,COMMON STOCK USD.008,741503403,2884,SOLE,2489,SH,2489,0,0
PRIMERICA INC,COMMON STOCK,74164M108,2398,SOLE,49724,SH,49724,0,0
REGENERON PHARMACEUTICALS,COMMON STOCK USD.001,75886F107,2019,SOLE,5600,SH,5600,0,0
SPDR S+P MIDCAP 400 ETF TRUST,SPDR S+P MIDCAP 400 ETF TRST,78467Y107,1396,SOLE,5600,SH,5600,0,0
SALESFORCE.COM INC,COMMON STOCK USD.001,79466L302,3379,SOLE,58726,SH,58726,0,0
SHUTTERSTOCK INC,COMMON STOCK USD.01,825690100,3679,SOLE,51548,SH,51548,0,0
TAIWAN SEMICONDUCTOR SP ADR,ADR,874039100,2324,SOLE,115179,SH,115179,0,0
TEXAS INSTRUMENTS INC,COMMON STOCK USD1.,882508104,310,SOLE,6500,SH,6500,0,0
THERMO FISHER SCIENTIFIC INC,COMMON STOCK USD1.,883556102,1777,SOLE,14600,SH,14600,0,0
TWENTY FIRST CENTURY FOX   B,COMMON STOCK USD.01,90130A200,3743,SOLE,112382,SH,112382,0,0
VERIZON COMMUNICATIONS INC,COMMON STOCK USD.1,92343V104,887,SOLE,17735,SH,17735,0,0
VIPSHOP HOLDINGS LTD   ADS,ADR USD.0001,92763W103,966,SOLE,5113,SH,5113,0,0
VISA INC CLASS A SHARES,COMMON STOCK USD.0001,92826C839,3697,SOLE,17328,SH,17328,0,0
