nameOfIssuer,titleOfClass,cusip,value,investmentDiscretion,sshPrnamt,sshPrnamtType,Sole,Shared,None
AUTOMATIC DATA PROCESSING,COMMON STOCK,053015103,370233,SOLE,1550,SH,1550,0,0
AFFIRM HOLDINGS INC,COMMON STOCK,00827B106,481972,SOLE,49842,SH,49842,0,0
AIR PRODUCTS CHEMICALS INC,COMMON STOCK,009158106,3144252,SOLE,10200,SH,10200,0,0
BERKSHIRE HATHAWAY INC CL B,COMMON STOCK,084670702,1767835,SOLE,5723,SH,5723,0,0
CALYXT INC,COMMON STOCK,13173L107,72560,SOLE,501798,SH,501798,0,0
CARIBOU BIOSCIENCES INC,COMMON STOCK,142038108,569295,SOLE,90652,SH,90652,0,0
CALIFORNIA WATER SERVICE GRP,COMMON STOCK,130788102,221336,SOLE,3650,SH,3650,0,0
DOORDASH INC A,COMMON STOCK,25809K105,220911,SOLE,4525,SH,4525,0,0
DATADOG INC CLASS A,COMMON STOCK,23804L103,385361,SOLE,5243,SH,5243,0,0
WALT DISNEY CO/THE,COMMON STOCK,254687106,521280,SOLE,6000,SH,6000,0,0
ESTEE LAUDER COMPANIES CL A,COMMON STOCK,518439104,8286874,SOLE,33400,SH,33400,0,0
ERASCA INC,COMMON STOCK,29479A108,1995409,SOLE,462972,SH,462972,0,0
GENERAL ELECTRIC CO,COMMON STOCK,369604301,419704,SOLE,5009,SH,5009,0,0
GREENLIGHT BIOSCIENCES HOLDI,COMMON STOCK,39536G105,234006,SOLE,198310,SH,198310,0,0
HONEYWELL INTERNATIONAL INC,COMMON STOCK,438516106,904989,SOLE,4223,SH,4223,0,0
COCA COLA CO/THE,COMMON STOCK,191216100,1144980,SOLE,18000,SH,18000,0,0
SPDR SP MIDCAP 400 ETF TRUST,MUTUAL FUNDS,78467Y107,2479624,SOLE,5600,SH,5600,0,0
MARSH MCLENNAN COS,COMMON STOCK,571748102,860496,SOLE,5200,SH,5200,0,0
MERCK CO. INC.,COMMON STOCK,58933Y105,2396520,SOLE,21600,SH,21600,0,0
INTELLIA THERAPEUTICS INC,COMMON STOCK,45826J105,3888142,SOLE,111440,SH,111440,0,0
ONCTERNAL THERAPEUTICS INC,COMMON STOCK,68236P107,53554,SOLE,53554,SH,53554,0,0
OWL ROCK CAPITAL CORP,COMMON STOCK,69121K104,312317994,SOLE,27040519,SH,27040519,0,0
BLUE OWL CAPITAL INC,COMMON STOCK,09581B103,169785405,SOLE,16017491,SH,16017491,0,0
PFIZER INC,COMMON STOCK,717081103,1416530,SOLE,27645,SH,27645,0,0
RAPT THERAPEUTICS INC,COMMON STOCK,75382E109,691535,SOLE,34926,SH,34926,0,0
SANA BIOTECHNOLOGY INC,COMMON STOCK,799566104,617203,SOLE,156254,SH,156254,0,0
SP GLOBAL INC,COMMON STOCK,78409V104,2009640,SOLE,6000,SH,6000,0,0
ATT INC,COMMON STOCK,00206R102,399276,SOLE,21688,SH,21688,0,0
TENAYA THERAPEUTICS INC,COMMON STOCK,87990A106,3269768,SOLE,1626750,SH,1626750,0,0
TEXAS INSTRUMENTS INC,COMMON STOCK,882508104,1073930,SOLE,6500,SH,6500,0,0
UNITED PARCEL SERVICE CL B,COMMON STOCK,911312106,234684,SOLE,1350,SH,1350,0,0
VERIZON COMMUNICATIONS INC,COMMON STOCK,92343V104,698759,SOLE,17735,SH,17735,0,0
WELLS FARGO CO,COMMON STOCK,949746101,747597,SOLE,18106,SH,18106,0,0
EXXON MOBIL CORP,COMMON STOCK,30231G102,3706080,SOLE,33600,SH,33600,0,0
