nameOfIssuer,titleOfClass,cusip,value,investmentDiscretion,sshPrnamt,sshPrnamtType,Sole,Shared,None
AIR PRODUCTS  CHEMICALS INC,COMMON STOCK,009158106,2263,SOLE,10200,SH,10200,0,0
ARVINAS INC,COMMON STOCK,04335A105,449,SOLE,20833,SH,20833,0,0
ATT INC   CDI,COMMON STOCK,00206R102,821,SOLE,21688,SH,21688,0,0
AUTOMATIC DATA PROCESSING,COMMON STOCK,053015103,250,SOLE,1550,SH,1550,0,0
COCA COLA CO/THE CDI,COMMON STOCK,191216100,980,SOLE,18000,SH,18000,0,0
CONSTELLATION PHARMACEUTICAL,COMMON STOCK,210373106,14841,SOLE,2297406,SH,2297406,0,0
ESTEE LAUDER COMPANIES CL A,COMMON STOCK,518439104,6645,SOLE,33400,SH,33400,0,0
EXXON MOBIL CORP   CDI,COMMON STOCK,30231G102,2372,SOLE,33600,SH,33600,0,0
GENERAL ELECTRIC CO,COMMON STOCK,369604103,358,SOLE,40075,SH,40075,0,0
GLOBAL BLOOD THERAPEUTICS IN,COMMON STOCK,37890U108,676,SOLE,13928,SH,13928,0,0
GUARDANT HEALTH INC,COMMON STOCK,40131M109,5068,SOLE,79406,SH,79406,0,0
HONEYWELL INTERNATIONAL INC,COMMON STOCK,438516106,715,SOLE,4223,SH,4223,0,0
INTELLIA THERAPEUTICS INC,COMMON STOCK,45826J105,1488,SOLE,111440,SH,111440,0,0
MARSH MCLENNAN COS,COMMON STOCK,571748102,520,SOLE,5200,SH,5200,0,0
MERCK CO. INC.   CDI,COMMON STOCK,58933Y105,1818,SOLE,21600,SH,21600,0,0
MONGODB INC,COMMON STOCK,60937P106,1846,SOLE,15323,SH,15323,0,0
PFIZER INC,COMMON STOCK,717081103,993,SOLE,27645,SH,27645,0,0
PPDAI GROUP INC ADR,DEPOSITORY RECEIPTS,69354V108,296,SOLE,101903,SH,101903,0,0
SP GLOBAL INC,COMMON STOCK,78409V104,1470,SOLE,6000,SH,6000,0,0
SQUARE INC   A,COMMON STOCK,852234103,3315,SOLE,53515,SH,53515,0,0
TEXAS INSTRUMENTS INC,COMMON STOCK,882508104,840,SOLE,6500,SH,6500,0,0
UPWORK INC,COMMON STOCK,91688F104,1166,SOLE,87610,SH,87610,0,0
VERIZON COMMUNICATIONS INC,COMMON STOCK,92343V104,1070,SOLE,17735,SH,17735,0,0
VERSUM MATERIALS INC,COMMON STOCK,92532W103,270,SOLE,5100,SH,5100,0,0
WALT DISNEY CO/THE CDI,COMMON STOCK,254687106,782,SOLE,6000,SH,6000,0,0
WELLS FARGO CO,COMMON STOCK,949746101,913,SOLE,18106,SH,18106,0,0
