nameOfIssuer,titleOfClass,cusip,value,investmentDiscretion,sshPrnamt,sshPrnamtType,Sole,Shared,None
AUTOMATIC DATA PROCESSING,COMMON STOCK,053015103,264,SOLE,1550,SH,1550,0,0
HONEYWELL INTERNATIONAL INC,COMMON STOCK,438516106,747,SOLE,4223,SH,4223,0,0
MARSH MCLENNAN COS,COMMON STOCK,571748102,579,SOLE,5200,SH,5200,0,0
WALT DISNEY CO/THE,COMMON STOCK,254687106,868,SOLE,6000,SH,6000,0,0
SP GLOBAL INC,COMMON STOCK,78409V104,1638,SOLE,6000,SH,6000,0,0
TEXAS INSTRUMENTS INC,COMMON STOCK,882508104,834,SOLE,6500,SH,6500,0,0
BERKSHIRE HATHAWAY INC CL B,COMMON STOCK,084670702,1822,SOLE,8043,SH,8043,0,0
AIR PRODUCTS CHEMICALS INC,COMMON STOCK,009158106,2397,SOLE,10200,SH,10200,0,0
EVENTBRITE INC CLASS A,COMMON STOCK,29975E109,224,SOLE,11127,SH,11127,0,0
MONGODB INC,COMMON STOCK,60937P106,1512,SOLE,11492,SH,11492,0,0
GLOBAL BLOOD THERAPEUTICS IN,COMMON STOCK,37890U108,1107,SOLE,13928,SH,13928,0,0
VERIZON COMMUNICATIONS INC,COMMON STOCK,92343V104,1089,SOLE,17735,SH,17735,0,0
COCA COLA CO/THE,COMMON STOCK,191216100,996,SOLE,18000,SH,18000,0,0
WELLS FARGO CO,COMMON STOCK,949746101,974,SOLE,18106,SH,18106,0,0
MERCK CO. INC.,COMMON STOCK,58933Y105,1965,SOLE,21600,SH,21600,0,0
ATT INC,COMMON STOCK,00206R102,848,SOLE,21688,SH,21688,0,0
PFIZER INC,COMMON STOCK,717081103,1083,SOLE,27645,SH,27645,0,0
ESTEE LAUDER COMPANIES CL A,COMMON STOCK,518439104,6898,SOLE,33400,SH,33400,0,0
EXXON MOBIL CORP,COMMON STOCK,30231G102,2345,SOLE,33600,SH,33600,0,0
GENERAL ELECTRIC CO,COMMON STOCK,369604103,447,SOLE,40075,SH,40075,0,0
FINVOLUTION GROUP,DEPOSITORY RECEIPTS,31810T101,135,SOLE,50952,SH,50952,0,0
UBER TECHNOLOGIES INC,COMMON STOCK,90353T100,1667,SOLE,56052,SH,56052,0,0
CROWDSTRIKE HOLDINGS INC   A,COMMON STOCK,22788C105,2889,SOLE,57925,SH,57925,0,0
GUARDANT HEALTH INC,COMMON STOCK,40131M109,6056,SOLE,77496,SH,77496,0,0
SQUARE INC   A,COMMON STOCK,852234103,5068,SOLE,81013,SH,81013,0,0
INTELLIA THERAPEUTICS INC,COMMON STOCK,45826J105,1635,SOLE,111440,SH,111440,0,0
CONSTELLATION PHARMACEUTICAL,COMMON STOCK,210373106,82320,SOLE,1747406,SH,1747406,0,0
ALLOGENE THERAPEUTICS INC,COMMON STOCK,019770106,61077,SOLE,2350930,SH,2350930,0,0
UPWORK INC,COMMON STOCK,91688F104,155,SOLE,14516,SH,14516,0,0
