nameOfIssuer,titleOfClass,cusip,value,investmentDiscretion,sshPrnamt,sshPrnamtType,Sole,Shared,None
AUTOMATIC DATA PROCESSING,COMMON STOCK,053015103,292,SOLE,1550,SH,1550,0,0
AFFIRM HOLDINGS INC,COMMON STOCK,00827B106,4127,SOLE,58362,SH,58362,0,0
ALLOGENE THERAPEUTICS INC,COMMON STOCK,019770106,23854,SOLE,675743,SH,675743,0,0
AIR PRODUCTS  CHEMICALS INC,COMMON STOCK,009158106,2870,SOLE,10200,SH,10200,0,0
ALIBABA GROUP HOLDING SP ADR,DEPOSITORY RECEIPTS,01609W102,50113,SOLE,221026,SH,221026,0,0
BERKELEY LIGHTS INC,COMMON STOCK,084310101,469,SOLE,9342,SH,9342,0,0
BERKSHIRE HATHAWAY INC CL B,COMMON STOCK,084670702,2055,SOLE,8043,SH,8043,0,0
CONSTELLATION PHARMACEUTICAL,COMMON STOCK,210373106,14538,SOLE,621541,SH,621541,0,0
CYTOMX THERAPEUTICS INC,COMMON STOCK,23284F105,580,SOLE,75000,SH,75000,0,0
CALIFORNIA WATER SERVICE GRP,COMMON STOCK,130788102,206,SOLE,3650,SH,3650,0,0
DOORDASH INC   A,COMMON STOCK,25809K105,18600,SOLE,141841,SH,141841,0,0
WALT DISNEY CO/THE,COMMON STOCK,254687106,1107,SOLE,6000,SH,6000,0,0
EVENTBRITE INC CLASS A,COMMON STOCK,29975E109,738,SOLE,33292,SH,33292,0,0
ESTEE LAUDER COMPANIES CL A,COMMON STOCK,518439104,9714,SOLE,33400,SH,33400,0,0
GENERAL ELECTRIC CO,COMMON STOCK,369604103,526,SOLE,40075,SH,40075,0,0
HONEYWELL INTERNATIONAL INC,COMMON STOCK,438516106,917,SOLE,4223,SH,4223,0,0
COCA COLA CO/THE,COMMON STOCK,191216100,949,SOLE,18000,SH,18000,0,0
SPDR SP MIDCAP 400 ETF TRUST,MUTUAL FUNDS,78467Y107,2666,SOLE,5600,SH,5600,0,0
MERCK  CO. INC.,COMMON STOCK,58933Y105,1665,SOLE,21600,SH,21600,0,0
INARI MEDICAL INC,COMMON STOCK,45332Y109,444,SOLE,4152,SH,4152,0,0
INTELLIA THERAPEUTICS INC,COMMON STOCK,45826J105,8944,SOLE,111440,SH,111440,0,0
OWL ROCK CAPITAL CORP,COMMON STOCK,69121K104,587853,SOLE,42690843,SH,42690843,0,0
PFIZER INC,COMMON STOCK,717081103,1002,SOLE,27645,SH,27645,0,0
PALANTIR TECHNOLOGIES INC A,COMMON STOCK,69608A108,2796,SOLE,120049,SH,120049,0,0
RAPT THERAPEUTICS INC,COMMON STOCK,75382E109,22200,SOLE,1000000,SH,1000000,0,0
SP GLOBAL INC,COMMON STOCK,78409V104,2117,SOLE,6000,SH,6000,0,0
ATT INC,COMMON STOCK,00206R102,656,SOLE,21688,SH,21688,0,0
TEXAS INSTRUMENTS INC,COMMON STOCK,882508104,1228,SOLE,6500,SH,6500,0,0
UNITED PARCEL SERVICE CL B,COMMON STOCK,911312106,229,SOLE,1350,SH,1350,0,0
VERIZON COMMUNICATIONS INC,COMMON STOCK,92343V104,1031,SOLE,17735,SH,17735,0,0
WELLS FARGO  CO,COMMON STOCK,949746101,707,SOLE,18106,SH,18106,0,0
EXXON MOBIL CORP,COMMON STOCK,30231G102,1876,SOLE,33600,SH,33600,0,0
