nameOfIssuer,titleOfClass,cusip,value,investmentDiscretion,sshPrnamt,sshPrnamtType,Sole,Shared,None
MONSANTO CO,COMMON STOCK USD.01,61166W101,1857,SOLE,16500,SH,16500,0,0
MOTOROLA SOLUTIONS INC,COMMON STOCK USD.01,620076307,753,SOLE,11300,SH,11300,0,0
NATIONAL FUEL GAS CO,COMMON STOCK USD1.,636180101,633,SOLE,10500,SH,10500,0,0
NATIONAL OILWELL VARCO INC,COMMON STOCK USD.01,637071101,952,SOLE,19053,SH,19053,0,0
NEWFIELD EXPLORATION CO,COMMON STOCK USD.01,651290108,755,SOLE,21515,SH,21515,0,0
NOBLE ENERGY INC,COMMON STOCK USD.01,655044105,825,SOLE,16868,SH,16868,0,0
OPHTHOTECH CORP,COMMON STOCK USD.001,683745103,750,SOLE,16110,SH,16110,0,0
ORACLE CORP,COMMON STOCK USD.01,68389X105,914,SOLE,21172,SH,21172,0,0
PFIZER INC,COMMON STOCK USD.05,717081103,962,SOLE,27645,SH,27645,0,0
PIONEER NATURAL RESOURCES CO,COMMON STOCK USD.01,723787107,1553,SOLE,9500,SH,9500,0,0
POST HOLDINGS INC,COMMON STOCK USD.01,737446104,834,SOLE,17800,SH,17800,0,0
PRICELINE GROUP INC/THE,COMMON STOCK USD.008,741503403,1603,SOLE,1377,SH,1377,0,0
PUMA BIOTECHNOLOGY INC,COMMON STOCK USD.0001,74587V107,2101,SOLE,8900,SH,8900,0,0
REGENERON PHARMACEUTICALS,COMMON STOCK USD.001,75886F107,2708,SOLE,5998,SH,5998,0,0
SPDR S+P MIDCAP 400 ETF TRUST,SPDR S+P MIDCAP 400 ETF TRST,78467Y107,1553,SOLE,5600,SH,5600,0,0
SALESFORCE.COM INC,COMMON STOCK USD.001,79466L302,762,SOLE,11400,SH,11400,0,0
SCHWAB (CHARLES) CORP,COMMON STOCK USD.01,808513105,1208,SOLE,39700,SH,39700,0,0
SHUTTERSTOCK INC,COMMON STOCK USD.01,825690100,3706,SOLE,53963,SH,53963,0,0
TAIWAN SEMICONDUCTOR SP ADR,ADR,874039100,1076,SOLE,45811,SH,45811,0,0
TENET HEALTHCARE CORP,COMMON STOCK USD.05,88033G407,797,SOLE,16100,SH,16100,0,0
TEXAS INSTRUMENTS INC,COMMON STOCK USD1.,882508104,372,SOLE,6500,SH,6500,0,0
THERMO FISHER SCIENTIFIC INC,COMMON STOCK USD1.,883556102,2315,SOLE,17231,SH,17231,0,0
TWENTY FIRST CENTURY FOX   B,COMMON STOCK USD.01,90130A200,878,SOLE,26713,SH,26713,0,0
VERIZON COMMUNICATIONS INC,COMMON STOCK USD.1,92343V104,862,SOLE,17735,SH,17735,0,0
VISA INC CLASS A SHARES,COMMON STOCK USD.0001,92826C839,2329,SOLE,35608,SH,35608,0,0
WALGREENS BOOTS ALLIANCE INC,COMMON STOCK USD.01,931427108,1346,SOLE,15892,SH,15892,0,0
WELLS FARGO + CO,COMMON STOCK USD1.666,949746101,985,SOLE,18106,SH,18106,0,0
WESTERN UNION CO,COMMON STOCK USD.01,959802109,928,SOLE,44616,SH,44616,0,0
WORKDAY INC CLASS A,COMMON STOCK USD.001,98138H101,1258,SOLE,14900,SH,14900,0,0
