nameOfIssuer,titleOfClass,cusip,value,investmentDiscretion,sshPrnamt,sshPrnamtType,Sole,Shared,None
AON PLC,COMMON STOCK USD.01,G0408V102,1149,SOLE,11955,SH,11955,0,0
ENDO INTERNATIONAL PLC,COMMON STOCK USD.0001,G30401106,1049,SOLE,11700,SH,11700,0,0
INVESCO LTD,COMMON STOCK USD.2,G491BT108,769,SOLE,19386,SH,19386,0,0
LIBERTY GLOBAL PLC SERIES C,COMMON STOCK USD.01,G5480U120,3593,SOLE,72132,SH,72132,0,0
NXP SEMICONDUCTORS NV,COMMON STOCK,N6596X109,728,SOLE,7249,SH,7249,0,0
SCORPIO TANKERS INC,COMMON STOCK USD.01,Y7542C106,658,SOLE,69900,SH,69900,0,0
ACCO BRANDS CORP,COMMON STOCK USD.01,00081T108,591,SOLE,71100,SH,71100,0,0
ADT CORP/THE,COMMON STOCK USD.01,00101J106,958,SOLE,23083,SH,23083,0,0
AGCO CORP,COMMON STOCK USD.01,001084102,648,SOLE,13600,SH,13600,0,0
AT+T INC,COMMON STOCK USD1.,00206R102,619,SOLE,18958,SH,18958,0,0
ADOBE SYSTEMS INC,COMMON STOCK USD.0001,00724F101,1396,SOLE,18886,SH,18886,0,0
ADVANCE AUTO PARTS INC,COMMON STOCK USD.0001,00751Y106,1706,SOLE,11400,SH,11400,0,0
AIR PRODUCTS + CHEMICALS INC,COMMON STOCK USD1.,009158106,1543,SOLE,10200,SH,10200,0,0
ALIBABA GROUP HOLDING SP ADR,ADR USD.000025,01609W102,2905,SOLE,34900,SH,34900,0,0
ALLEGHANY CORP,COMMON STOCK USD1.,017175100,877,SOLE,1800,SH,1800,0,0
ANADARKO PETROLEUM CORP,COMMON STOCK USD.1,032511107,381,SOLE,4602,SH,4602,0,0
ATHENAHEALTH INC,COMMON STOCK USD.01,04685W103,806,SOLE,6751,SH,6751,0,0
BAIDU INC   SPON ADR,ADR USD.00005,056752108,3591,SOLE,17229,SH,17229,0,0
BELDEN INC,COMMON STOCK USD.01,077454106,1329,SOLE,14200,SH,14200,0,0
BIOMARIN PHARMACEUTICAL INC,COMMON STOCK USD.001,09061G101,1184,SOLE,9500,SH,9500,0,0
BIOGEN INC,COMMON STOCK USD.0005,09062X103,1013,SOLE,2400,SH,2400,0,0
CST BRANDS INC,COMMON STOCK USD.01,12646R105,855,SOLE,19500,SH,19500,0,0
CARLISLE COS INC,COMMON STOCK USD1.,142339100,1278,SOLE,13800,SH,13800,0,0
CERNER CORP,COMMON STOCK USD.01,156782104,850,SOLE,11600,SH,11600,0,0
CITIGROUP INC,COMMON STOCK USD.01,172967424,762,SOLE,14800,SH,14800,0,0
COCA COLA CO/THE,COMMON STOCK USD.25,191216100,730,SOLE,18000,SH,18000,0,0
CTRIP.COM INTERNATIONAL ADR,ADR USD.01,22943F100,844,SOLE,14400,SH,14400,0,0
WALT DISNEY CO/THE,COMMON STOCK USD.01,254687106,629,SOLE,6000,SH,6000,0,0
ECOLAB INC,COMMON STOCK USD1.,278865100,1175,SOLE,10269,SH,10269,0,0
EXXON MOBIL CORP,COMMON STOCK NPV,30231G102,2856,SOLE,33600,SH,33600,0,0
FMC TECHNOLOGIES INC,COMMON STOCK USD.01,30249U101,500,SOLE,13500,SH,13500,0,0
FACEBOOK INC A,COMMON STOCK USD.000006,30303M102,1258,SOLE,15300,SH,15300,0,0
FISERV INC,COMMON STOCK USD.01,337738108,1445,SOLE,18200,SH,18200,0,0
GATX CORP,COMMON STOCK USD.625,361448103,800,SOLE,13800,SH,13800,0,0
GANNETT CO,COMMON STOCK USD1.,364730101,341,SOLE,9200,SH,9200,0,0
GENERAL ELECTRIC CO,COMMON STOCK USD.06,369604103,994,SOLE,40075,SH,40075,0,0
GOOGLE INC CL A,COMMON STOCK USD.001,38259P508,777,SOLE,1400,SH,1400,0,0
HALLIBURTON CO,COMMON STOCK USD2.5,406216101,1401,SOLE,31923,SH,31923,0,0
HONEYWELL INTERNATIONAL INC,COMMON STOCK USD1.,438516106,438,SOLE,4200,SH,4200,0,0
ICICI BANK LTD SPON ADR,ADR,45104G104,934,SOLE,90200,SH,90200,0,0
ILLUMINA INC,COMMON STOCK USD.01,452327109,1021,SOLE,5500,SH,5500,0,0
ITC HOLDINGS CORP,COMMON STOCK NPV,465685105,563,SOLE,15034,SH,15034,0,0
KANSAS CITY SOUTHERN,COMMON STOCK USD.01,485170302,806,SOLE,7900,SH,7900,0,0
KITE PHARMA INC,COMMON STOCK USD.001,49803L109,790,SOLE,13700,SH,13700,0,0
LAS VEGAS SANDS CORP,COMMON STOCK USD.001,517834107,1027,SOLE,18662,SH,18662,0,0
ESTEE LAUDER COMPANIES CL A,COMMON STOCK USD.01,518439104,2778,SOLE,33400,SH,33400,0,0
LENNAR CORP A,COMMON STOCK USD.1,526057104,725,SOLE,14000,SH,14000,0,0
LINKEDIN CORP   A,COMMON STOCK USD.0001,53578A108,650,SOLE,2600,SH,2600,0,0
LULULEMON ATHLETICA INC,COMMON STOCK USD.005,550021109,653,SOLE,10200,SH,10200,0,0
MACROGENICS INC,COMMON STOCK USD.01,556099109,542,SOLE,17268,SH,17268,0,0
MARSH + MCLENNAN COS,COMMON STOCK USD1.,571748102,292,SOLE,5200,SH,5200,0,0
MASTERCARD INC CLASS A,COMMON STOCK USD.0001,57636Q104,674,SOLE,7802,SH,7802,0,0
MAXIM INTEGRATED PRODUCTS,COMMON STOCK USD.001,57772K101,755,SOLE,21700,SH,21700,0,0
MCGRAW HILL FINANCIAL INC,COMMON STOCK USD1.,580645109,620,SOLE,6000,SH,6000,0,0
MERCK + CO. INC.,COMMON STOCK USD.5,58933Y105,1242,SOLE,21600,SH,21600,0,0
MOHAWK INDUSTRIES INC,COMMON STOCK USD.01,608190104,929,SOLE,5000,SH,5000,0,0
MONDELEZ INTERNATIONAL INC A,COMMON STOCK NPV,609207105,1168,SOLE,32374,SH,32374,0,0
