nameOfIssuer,titleOfClass,cusip,value,investmentDiscretion,sshPrnamt,sshPrnamtType,Sole,Shared,None
ATT INC,COMMON STOCK,00206R102,743,SOLE,18958,SH,18958,0,0
AIR PRODUCTS  CHEMICALS INC,COMMON STOCK,009158106,1542,SOLE,10200,SH,10200,0,0
ANADARKO PETROLEUM CORP,COMMON STOCK,032511107,225,SOLE,4602,SH,4602,0,0
COCA COLA CO/THE,COMMON STOCK,191216100,810,SOLE,18000,SH,18000,0,0
DIAMONDBACK ENERGY INC,COMMON STOCK,25278X109,1413,SOLE,14420,SH,14420,0,0
WALT DISNEY CO/THE,COMMON STOCK,254687106,591,SOLE,6000,SH,6000,0,0
EXXON MOBIL CORP,COMMON STOCK,30231G102,2755,SOLE,33600,SH,33600,0,0
GENERAL ELECTRIC CO,COMMON STOCK,369604103,969,SOLE,40075,SH,40075,0,0
HONEYWELL INTERNATIONAL INC,COMMON STOCK,438516106,599,SOLE,4223,SH,4223,0,0
ISHARES JP MORGAN USD EMERGING,COMMON STOCK,464288281,26706,SOLE,229390,SH,229390,0,0
ESTEE LAUDER COMPANIES CL A,COMMON STOCK,518439104,3602,SOLE,33400,SH,33400,0,0
MARSH  MCLENNAN COS,COMMON STOCK,571748102,436,SOLE,5200,SH,5200,0,0
MERCK  CO. INC.,COMMON STOCK,58933Y105,1383,SOLE,21600,SH,21600,0,0
OPHTHOTECH CORP,COMMON STOCK,683745103,45,SOLE,16110,SH,16110,0,0
PFIZER INC,COMMON STOCK,717081103,987,SOLE,27645,SH,27645,0,0
SP GLOBAL INC,COMMON STOCK,78409V104,938,SOLE,6000,SH,6000,0,0
SPDR SP MIDCAP 400 ETF TRUST,COMMON STOCK,78467Y107,1827,SOLE,5600,SH,5600,0,0
TEXAS INSTRUMENTS INC,COMMON STOCK,882508104,583,SOLE,6500,SH,6500,0,0
VERIZON COMMUNICATIONS INC,COMMON STOCK,92343V104,878,SOLE,17735,SH,17735,0,0
WELLS FARGO  CO,COMMON STOCK,949746101,999,SOLE,18106,SH,18106,0,0
