nameOfIssuer,titleOfClass,cusip,value,investmentDiscretion,sshPrnamt,sshPrnamtType,Sole,Shared,None
ASML HOLDING NV NY REG SHS,DEPOSITORY RECEIPTS,N07059210,413334738,SOLE,426959,SH,426959,0,0
BLUE OWL CAPITAL INC,COMMON STOCK,09581B103,101437365,SOLE,5991575,SH,5991575,0,0
BROOKFIELD CORP,COMMON STOCK,11271J107,410529275,SOLE,5986137,SH,5986137,0,0
ISHARES NASDAQ TOP 30 STOCKS E,MUTUAL FUNDS,46438G562,31269483,SOLE,1005773,SH,1005773,0,0
STATE STREET CORP,COMMON STOCK,857477103,324575678,SOLE,2797825,SH,2797825,0,0
SURROZEN INC,WARRANTS,86889P117,1575,SOLE,83333,SH,83333,0,0
SURROZEN INC,COMMON STOCK,86889P208,1716372,SOLE,133207,SH,133207,0,0
