nameOfIssuer,titleOfClass,cusip,value,investmentDiscretion,sshPrnamt,sshPrnamtType,Sole,Shared,None
AIR PRODUCTS CHEMICALS INC,COMMON STOCK,009158106,3055206,SOLE,10200,SH,10200,0,0
AT T INC,COMMON STOCK,00206R102,345924,SOLE,21688,SH,21688,0,0
AUTOMATIC DATA PROCESSING,COMMON STOCK,053015103,340675,SOLE,1550,SH,1550,0,0
BERKSHIRE HATHAWAY INC CL B,COMMON STOCK,084670702,1951543,SOLE,5723,SH,5723,0,0
BLUE OWL CAPITAL INC,COMMON STOCK,09581B103,186603770,SOLE,16017491,SH,16017491,0,0
CARIBOU BIOSCIENCES INC,COMMON STOCK,142038108,385271,SOLE,90652,SH,90652,0,0
COCA COLA CO/THE,COMMON STOCK,191216100,1083960,SOLE,18000,SH,18000,0,0
ERASCA INC,COMMON STOCK,29479A108,652011,SOLE,236236,SH,236236,0,0
ESTEE LAUDER COMPANIES CL A,COMMON STOCK,518439104,6559092,SOLE,33400,SH,33400,0,0
EXXON MOBIL CORP,COMMON STOCK,30231G102,3603600,SOLE,33600,SH,33600,0,0
GENERAL ELECTRIC CO,COMMON STOCK,369604301,550239,SOLE,5009,SH,5009,0,0
HONEYWELL INTERNATIONAL INC,COMMON STOCK,438516106,876273,SOLE,4223,SH,4223,0,0
INTELLIA THERAPEUTICS INC,COMMON STOCK,45826J105,4544523,SOLE,111440,SH,111440,0,0
MARSH MCLENNAN COS,COMMON STOCK,571748102,978016,SOLE,5200,SH,5200,0,0
MERCK CO. INC.,COMMON STOCK,58933Y105,2492424,SOLE,21600,SH,21600,0,0
ONCTERNAL THERAPEUTICS INC,COMMON STOCK,68236P107,18476,SOLE,53554,SH,53554,0,0
OWL ROCK CAPITAL CORP,COMMON STOCK,69121K104,326127271,SOLE,24301585,SH,24301585,0,0
PFIZER INC,COMMON STOCK,717081103,1014019,SOLE,27645,SH,27645,0,0
SP GLOBAL INC,COMMON STOCK,78409V104,2405340,SOLE,6000,SH,6000,0,0
SANA BIOTECHNOLOGY INC,COMMON STOCK,799566104,931274,SOLE,156254,SH,156254,0,0
SPDR MSCI ACWI CLIMATE PARIS A,MUTUAL FUNDS,78463X194,147221621,SOLE,4940356,SH,4940356,0,0
SPDR MSCI USA CLIMATE PARIS AL,MUTUAL FUNDS,78468R473,100973041,SOLE,4013540,SH,4013540,0,0
SPDR SP MIDCAP 400 ETF TRUST,MUTUAL FUNDS,78467Y107,2681896,SOLE,5600,SH,5600,0,0
TENAYA THERAPEUTICS INC,COMMON STOCK,87990A106,97636,SOLE,16633,SH,16633,0,0
TEXAS INSTRUMENTS INC,COMMON STOCK,882508104,1170130,SOLE,6500,SH,6500,0,0
UNITED PARCEL SERVICE CL B,COMMON STOCK,911312106,241988,SOLE,1350,SH,1350,0,0
VERIZON COMMUNICATIONS INC,COMMON STOCK,92343V104,659565,SOLE,17735,SH,17735,0,0
WALT DISNEY CO/THE,COMMON STOCK,254687106,535680,SOLE,6000,SH,6000,0,0
WELLS FARGO CO,COMMON STOCK,949746101,772764,SOLE,18106,SH,18106,0,0
