nameOfIssuer,titleOfClass,cusip,value,investmentDiscretion,sshPrnamt,sshPrnamtType,Sole,Shared,None
AIR PRODUCTS CHEMICALS INC,COMMON STOCK,009158106,2792760,SOLE,10200,SH,10200,0,0
ATT INC,COMMON STOCK,00206R102,363925,SOLE,21688,SH,21688,0,0
AUTOMATIC DATA PROCESSING,COMMON STOCK,053015103,361104,SOLE,1550,SH,1550,0,0
BERKSHIRE HATHAWAY INC CL B,COMMON STOCK,084670702,2041165,SOLE,5723,SH,5723,0,0
BLUE OWL CAPITAL CORP,COMMON STOCK,69121K104,258420811,SOLE,17508185,SH,17508185,0,0
BLUE OWL CAPITAL INC,COMMON STOCK,09581B103,238660616,SOLE,16017491,SH,16017491,0,0
COCA COLA CO/THE,COMMON STOCK,191216100,1060740,SOLE,18000,SH,18000,0,0
ERASCA INC,COMMON STOCK,29479A108,503183,SOLE,236236,SH,236236,0,0
ESTEE LAUDER COMPANIES CL A,COMMON STOCK,518439104,4884750,SOLE,33400,SH,33400,0,0
EXXON MOBIL CORP,COMMON STOCK,30231G102,3359328,SOLE,33600,SH,33600,0,0
GENERAL ELECTRIC CO,COMMON STOCK,369604301,639299,SOLE,5009,SH,5009,0,0
HONEYWELL INTERNATIONAL INC,COMMON STOCK,438516106,885605,SOLE,4223,SH,4223,0,0
INTELLIA THERAPEUTICS INC,COMMON STOCK,45826J105,3576934,SOLE,117315,SH,117315,0,0
MARSH MCLENNAN COS,COMMON STOCK,571748102,985244,SOLE,5200,SH,5200,0,0
MERCK CO. INC.,COMMON STOCK,58933Y105,2354832,SOLE,21600,SH,21600,0,0
ONCTERNAL THERAPEUTICS INC,COMMON STOCK,68236P107,28716,SOLE,53554,SH,53554,0,0
PFIZER INC,COMMON STOCK,717081103,795900,SOLE,27645,SH,27645,0,0
SP GLOBAL INC,COMMON STOCK,78409V104,2643120,SOLE,6000,SH,6000,0,0
SANA BIOTECHNOLOGY INC,COMMON STOCK,799566104,637516,SOLE,156254,SH,156254,0,0
SPDR MSCI ACWI CLIMATE PARIS A,MUTUAL FUNDS,78463X194,156609285,SOLE,4940356,SH,4940356,0,0
SPDR MSCI USA CLIMATE PARIS AL,MUTUAL FUNDS,78468R473,108471136,SOLE,4013540,SH,4013540,0,0
SPDR SP MIDCAP 400 ETF TRUST,MUTUAL FUNDS,78467Y107,2841328,SOLE,5600,SH,5600,0,0
TEXAS INSTRUMENTS INC,COMMON STOCK,882508104,1107990,SOLE,6500,SH,6500,0,0
UNITED PARCEL SERVICE CL B,COMMON STOCK,911312106,212261,SOLE,1350,SH,1350,0,0
VERIZON COMMUNICATIONS INC,COMMON STOCK,92343V104,668610,SOLE,17735,SH,17735,0,0
WALT DISNEY CO/THE,COMMON STOCK,254687106,541740,SOLE,6000,SH,6000,0,0
WELLS FARGO CO,COMMON STOCK,949746101,891177,SOLE,18106,SH,18106,0,0
