nameOfIssuer,titleOfClass,cusip,value,investmentDiscretion,sshPrnamt,sshPrnamtType,Sole,Shared,None
AUTOMATIC DATA PROCESSING,COMMON STOCK,053015103,231,SOLE,1550,SH,1550,0,0
ZOOM VIDEO COMMUNICATIONS A,COMMON STOCK,98980L101,545,SOLE,2149,SH,2149,0,0
HONEYWELL INTERNATIONAL INC,COMMON STOCK,438516106,611,SOLE,4223,SH,4223,0,0
MARSH MCLENNAN COS,COMMON STOCK,571748102,558,SOLE,5200,SH,5200,0,0
SPDR S P MIDCAP 400 ETF TRUST,UTSER1 S&PDCRP,78467Y107,1817,SOLE,5600,SH,5600,0,0
WALT DISNEY CO/THE,COMMON STOCK,254687106,669,SOLE,6000,SH,6000,0,0
S P GLOBAL INC,COMMON STOCK,78409V104,1977,SOLE,6000,SH,6000,0,0
TEXAS INSTRUMENTS INC,COMMON STOCK,882508104,825,SOLE,6500,SH,6500,0,0
SLACK TECHNOLOGIES INC  CL A,COMMON STOCK,83088V102,205,SOLE,6586,SH,6586,0,0
BERKSHIRE HATHAWAY INC CL B,COMMON STOCK,084670702,1436,SOLE,8043,SH,8043,0,0
AIR PRODUCTS CHEMICALS INC,COMMON STOCK,009158106,2463,SOLE,10200,SH,10200,0,0
HEALTH CATALYST INC,COMMON STOCK,42225T107,354,SOLE,12126,SH,12126,0,0
GLOBAL BLOOD THERAPEUTICS IN,COMMON STOCK,37890U108,879,SOLE,13928,SH,13928,0,0
VERIZON COMMUNICATIONS INC,COMMON STOCK,92343V104,978,SOLE,17735,SH,17735,0,0
COCA COLA CO/THE,COMMON STOCK,191216100,804,SOLE,18000,SH,18000,0,0
WELLS FARGO CO,COMMON STOCK,949746101,464,SOLE,18106,SH,18106,0,0
MERCK CO. INC.,COMMON STOCK,58933Y105,1670,SOLE,21600,SH,21600,0,0
AT T INC,COMMON STOCK,00206R102,656,SOLE,21688,SH,21688,0,0
PFIZER INC,COMMON STOCK,717081103,904,SOLE,27645,SH,27645,0,0
ESTEE LAUDER COMPANIES CL A,COMMON STOCK,518439104,6302,SOLE,33400,SH,33400,0,0
EXXON MOBIL CORP,COMMON STOCK,30231G102,1503,SOLE,33600,SH,33600,0,0
GENERAL ELECTRIC CO,COMMON STOCK,369604103,274,SOLE,40075,SH,40075,0,0
INTELLIA THERAPEUTICS INC,COMMON STOCK,45826J105,2342,SOLE,111440,SH,111440,0,0
GUARDANT HEALTH INC,COMMON STOCK,40131M109,10975,SOLE,135273,SH,135273,0,0
REALREAL INC/THE,COMMON STOCK,88339P101,2355,SOLE,184097,SH,184097,0,0
FINVOLUTION GROUP,DEPOSITORY RECEIPTS,31810T101,507,SOLE,280233,SH,280233,0,0
ORCHARD THERAPEUTICS PLC,ADS,68570P101,5107,SOLE,851201,SH,851201,0,0
CONSTELLATION PHARMACEUTICAL,COMMON STOCK,210373106,37184,SOLE,1237406,SH,1237406,0,0
ALLOGENE THERAPEUTICS INC,COMMON STOCK,019770106,54779,SOLE,1279281,SH,1279281,0,0
RAPT THERAPEUTICS INC,COMMON STOCK,75382E109,45626,SOLE,1572237,SH,1572237,0,0
OWL ROCK CAPITAL CORPORATION,COMMON STOCK,69121K104,527519,SOLE,42783344,SH,42783344,0,0
