nameOfIssuer,titleOfClass,cusip,value,investmentDiscretion,sshPrnamt,sshPrnamtType,Sole,Shared,None
AIR PRODUCTS CHEMICALS INC,COMMON STOCK,009158106,2890680,SOLE,10200,SH,10200,0,0
AT T INC,COMMON STOCK,00206R102,325754,SOLE,21688,SH,21688,0,0
AUTOMATIC DATA PROCESSING,COMMON STOCK,053015103,372899,SOLE,1550,SH,1550,0,0
BERKSHIRE HATHAWAY INC CL B,COMMON STOCK,084670702,2004767,SOLE,5723,SH,5723,0,0
BLUE OWL CAPITAL CORP,COMMON STOCK,69121K104,301293953,SOLE,21754076,SH,21754076,0,0
BLUE OWL CAPITAL INC,COMMON STOCK,09581B103,207586683,SOLE,16017491,SH,16017491,0,0
CIBUS INC,COMMON STOCK,17166A101,182838,SOLE,10035,SH,10035,0,0
COCA COLA CO/THE,COMMON STOCK,191216100,1007640,SOLE,18000,SH,18000,0,0
ERASCA INC,COMMON STOCK,29479A108,465385,SOLE,236236,SH,236236,0,0
ESTEE LAUDER COMPANIES CL A,COMMON STOCK,518439104,4827970,SOLE,33400,SH,33400,0,0
EXXON MOBIL CORP,COMMON STOCK,30231G102,3950688,SOLE,33600,SH,33600,0,0
GENERAL ELECTRIC CO,COMMON STOCK,369604301,553745,SOLE,5009,SH,5009,0,0
HONEYWELL INTERNATIONAL INC,COMMON STOCK,438516106,780157,SOLE,4223,SH,4223,0,0
INTELLIA THERAPEUTICS INC,COMMON STOCK,45826J105,3523733,SOLE,111440,SH,111440,0,0
MARSH MCLENNAN COS,COMMON STOCK,571748102,989560,SOLE,5200,SH,5200,0,0
MERCK CO. INC.,COMMON STOCK,58933Y105,2223720,SOLE,21600,SH,21600,0,0
ONCTERNAL THERAPEUTICS INC,COMMON STOCK,68236P107,16243,SOLE,53554,SH,53554,0,0
PFIZER INC,COMMON STOCK,717081103,916985,SOLE,27645,SH,27645,0,0
SP GLOBAL INC,COMMON STOCK,78409V104,2192460,SOLE,6000,SH,6000,0,0
SANA BIOTECHNOLOGY INC,COMMON STOCK,799566104,604703,SOLE,156254,SH,156254,0,0
SPDR MSCI ACWI CLIMATE PARIS A,MUTUAL FUNDS,78463X194,140256707,SOLE,4940356,SH,4940356,0,0
SPDR MSCI USA CLIMATE PARIS AL,MUTUAL FUNDS,78468R473,96456604,SOLE,4013540,SH,4013540,0,0
SPDR SP MIDCAP 400 ETF TRUST,MUTUAL FUNDS,78467Y107,2557184,SOLE,5600,SH,5600,0,0
TEXAS INSTRUMENTS INC,COMMON STOCK,882508104,1033565,SOLE,6500,SH,6500,0,0
UNITED PARCEL SERVICE CL B,COMMON STOCK,911312106,210425,SOLE,1350,SH,1350,0,0
VERIZON COMMUNICATIONS INC,COMMON STOCK,92343V104,574791,SOLE,17735,SH,17735,0,0
WALT DISNEY CO/THE,COMMON STOCK,254687106,486300,SOLE,6000,SH,6000,0,0
WELLS FARGO CO,COMMON STOCK,949746101,739811,SOLE,18106,SH,18106,0,0
