nameOfIssuer,titleOfClass,cusip,value,investmentDiscretion,sshPrnamt,sshPrnamtType,Sole,Shared,None
ATT INC,COMMON STOCK,00206R102,715,SOLE,18958,SH,18958,0,0
AIR PRODUCTS  CHEMICALS INC,COMMON STOCK,009158106,1459,SOLE,10200,SH,10200,0,0
ANADARKO PETROLEUM CORP,COMMON STOCK,032511107,209,SOLE,4602,SH,4602,0,0
BERKSHIRE HATHAWAY INC CL B,COMMON STOCK,084670702,249,SOLE,1465,SH,1465,0,0
COCA COLA CO/THE,COMMON STOCK,191216100,807,SOLE,18000,SH,18000,0,0
CYTOMX THERAPEUTICS INC,COMMON STOCK,23284F105,566,SOLE,36499,SH,36499,0,0
WALT DISNEY CO/THE,COMMON STOCK,254687106,638,SOLE,6000,SH,6000,0,0
EXXON MOBIL CORP,COMMON STOCK,30231G102,2713,SOLE,33600,SH,33600,0,0
GENERAL ELECTRIC CO,COMMON STOCK,369604103,1082,SOLE,40075,SH,40075,0,0
HONEYWELL INTERNATIONAL INC,COMMON STOCK,438516106,563,SOLE,4223,SH,4223,0,0
ESTEE LAUDER COMPANIES CL A,COMMON STOCK,518439104,3206,SOLE,33400,SH,33400,0,0
MARSH  MCLENNAN COS,COMMON STOCK,571748102,405,SOLE,5200,SH,5200,0,0
MERCK  CO. INC.,COMMON STOCK,58933Y105,1384,SOLE,21600,SH,21600,0,0
PFIZER INC,COMMON STOCK,717081103,929,SOLE,27645,SH,27645,0,0
SP GLOBAL INC,COMMON STOCK,78409V104,876,SOLE,6000,SH,6000,0,0
SQUARE INC   A,COMMON STOCK,852234103,4692,SOLE,200000,SH,200000,0,0
TEXAS INSTRUMENTS INC,COMMON STOCK,882508104,500,SOLE,6500,SH,6500,0,0
VERIZON COMMUNICATIONS INC,COMMON STOCK,92343V104,792,SOLE,17735,SH,17735,0,0
WELLS FARGO  CO,COMMON STOCK,949746101,1003,SOLE,18106,SH,18106,0,0
