nameOfIssuer,titleOfClass,cusip,value,investmentDiscretion,sshPrnamt,sshPrnamtType,Sole,Shared,None
AUTOMATIC DATA PROCESSING,COMMON STOCK,053015103,212,SOLE,1550,SH,1550,0,0
HONEYWELL INTERNATIONAL INC,COMMON STOCK,438516106,565,SOLE,4223,SH,4223,0,0
MARSH MCLENNAN COS,COMMON STOCK,571748102,450,SOLE,5200,SH,5200,0,0
WALT DISNEY CO/THE,COMMON STOCK,254687106,580,SOLE,6000,SH,6000,0,0
S P GLOBAL INC,COMMON STOCK,78409V104,1470,SOLE,6000,SH,6000,0,0
TEXAS INSTRUMENTS INC,COMMON STOCK,882508104,650,SOLE,6500,SH,6500,0,0
BERKSHIRE HATHAWAY INC CL B,COMMON STOCK,084670702,1471,SOLE,8043,SH,8043,0,0
AIR PRODUCTS CHEMICALS INC,COMMON STOCK,009158106,2036,SOLE,10200,SH,10200,0,0
HEALTH CATALYST INC,COMMON STOCK,42225T107,317,SOLE,12126,SH,12126,0,0
GLOBAL BLOOD THERAPEUTICS IN,COMMON STOCK,37890U108,712,SOLE,13928,SH,13928,0,0
VERIZON COMMUNICATIONS INC,COMMON STOCK,92343V104,953,SOLE,17735,SH,17735,0,0
SQUARE INC   A,COMMON STOCK,852234103,936,SOLE,17874,SH,17874,0,0
COCA COLA CO/THE,COMMON STOCK,191216100,797,SOLE,18000,SH,18000,0,0
WELLS FARGO CO,COMMON STOCK,949746101,520,SOLE,18106,SH,18106,0,0
MERCK CO. INC.,COMMON STOCK,58933Y105,1662,SOLE,21600,SH,21600,0,0
OWL ROCK CAPITAL CORPORATION,COMMON STOCK,931BNK902,507303,SOLE,43960361,SH,43960361,0,0
RAPT THERAPEUTICS INC,COMMON STOCK,930AZA904,33441,SOLE,1572237,SH,1572237,0,0
ZOOM VIDEO COMMUNICATIONS A,COMMON STOCK,98980L101,251,SOLE,1719,SH,1719,0,0
AT T INC,COMMON STOCK,00206R102,632,SOLE,21688,SH,21688,0,0
PFIZER INC,COMMON STOCK,717081103,902,SOLE,27645,SH,27645,0,0
ESTEE LAUDER COMPANIES CL A,COMMON STOCK,518439104,5322,SOLE,33400,SH,33400,0,0
EXXON MOBIL CORP,COMMON STOCK,30231G102,1276,SOLE,33600,SH,33600,0,0
GENERAL ELECTRIC CO,COMMON STOCK,369604103,318,SOLE,40075,SH,40075,0,0
FINVOLUTION GROUP,DEPOSITORY RECEIPTS,31810T101,91,SOLE,50952,SH,50952,0,0
INTELLIA THERAPEUTICS INC,COMMON STOCK,45826J105,1363,SOLE,111440,SH,111440,0,0
REALREAL INC/THE,COMMON STOCK,88339P101,1013,SOLE,144514,SH,144514,0,0
GUARDANT HEALTH INC,COMMON STOCK,40131M109,11286,SOLE,162162,SH,162162,0,0
CONSTELLATION PHARMACEUTICAL,COMMON STOCK,210373106,47063,SOLE,1497406,SH,1497406,0,0
ALLOGENE THERAPEUTICS INC,COMMON STOCK,019770106,47207,SOLE,2350930,SH,2350930,0,0
"ONCTERNAL THERAPUETICS,INC",COMMON STOCK,930TRP909,314,SOLE,107108,SH,107108,0,0
