nameOfIssuer,titleOfClass,cusip,value,investmentDiscretion,sshPrnamt,sshPrnamtType,Sole,Shared,None
AUTOMATIC DATA PROCESSING,COMMON STOCK,053015103,308,SOLE,1550,SH,1550,0,0
AFFIRM HOLDINGS INC,COMMON STOCK,00827B106,3931,SOLE,58362,SH,58362,0,0
AIR PRODUCTS CHEMICALS INC,COMMON STOCK,009158106,2934,SOLE,10200,SH,10200,0,0
ALIBABA GROUP HOLDING SP ADR,DEPOSITORY RECEIPTS,01609W102,69402,SOLE,306031,SH,306031,0,0
BERKELEY LIGHTS INC,COMMON STOCK,084310101,419,SOLE,9342,SH,9342,0,0
BERKSHIRE HATHAWAY INC CL B,COMMON STOCK,084670702,2235,SOLE,8043,SH,8043,0,0
CONSTELLATION PHARMACEUTICAL,COMMON STOCK,210373106,21008,SOLE,621541,SH,621541,0,0
CYTOMX THERAPEUTICS INC,COMMON STOCK,23284F105,475,SOLE,75000,SH,75000,0,0
CALIFORNIA WATER SERVICE GRP,COMMON STOCK,130788102,203,SOLE,3650,SH,3650,0,0
WALT DISNEY CO/THE,COMMON STOCK,254687106,1055,SOLE,6000,SH,6000,0,0
EVENTBRITE INC CLASS A,COMMON STOCK,29975E109,342,SOLE,17992,SH,17992,0,0
ESTEE LAUDER COMPANIES CL A,COMMON STOCK,518439104,10624,SOLE,33400,SH,33400,0,0
GENERAL ELECTRIC CO,COMMON STOCK,369604103,539,SOLE,40075,SH,40075,0,0
HONEYWELL INTERNATIONAL INC,COMMON STOCK,438516106,926,SOLE,4223,SH,4223,0,0
COCA COLA CO/THE,COMMON STOCK,191216100,974,SOLE,18000,SH,18000,0,0
SPDR S P MIDCAP 400 ETF TRUST,MUTUAL FUNDS,78467Y107,2750,SOLE,5600,SH,5600,0,0
MARSH MCLENNAN COS,COMMON STOCK,571748102,732,SOLE,5200,SH,5200,0,0
MERCK CO. INC.,COMMON STOCK,58933Y105,1680,SOLE,21600,SH,21600,0,0
NURIX THERAPEUTICS INC,COMMON STOCK,67080M103,15155,SOLE,571212,SH,571212,0,0
INTELLIA THERAPEUTICS INC,COMMON STOCK,45826J105,18043,SOLE,111440,SH,111440,0,0
OPENDOOR TECHNOLOGIES INC,COMMON STOCK,683712103,21090,SOLE,1189531,SH,1189531,0,0
OWL ROCK CAPITAL CORP,COMMON STOCK,69121K104,550961,SOLE,38609751,SH,38609751,0,0
PINDUODUO INC ADR,DEPOSITORY RECEIPTS,722304102,1712,SOLE,13480,SH,13480,0,0
PFIZER INC,COMMON STOCK,717081103,1083,SOLE,27645,SH,27645,0,0
RAPT THERAPEUTICS INC,COMMON STOCK,75382E109,24879,SOLE,782593,SH,782593,0,0
SNOWFLAKE INC CLASS A,COMMON STOCK,833445109,2899,SOLE,11990,SH,11990,0,0
SP GLOBAL INC,COMMON STOCK,78409V104,2463,SOLE,6000,SH,6000,0,0
ATT INC,COMMON STOCK,00206R102,624,SOLE,21688,SH,21688,0,0
TEXAS INSTRUMENTS INC,COMMON STOCK,882508104,1250,SOLE,6500,SH,6500,0,0
UNITED PARCEL SERVICE CL B,COMMON STOCK,911312106,281,SOLE,1350,SH,1350,0,0
UPSTART HOLDINGS INC,COMMON STOCK,91680M107,18614,SOLE,149031,SH,149031,0,0
VERIZON COMMUNICATIONS INC,COMMON STOCK,92343V104,994,SOLE,17735,SH,17735,0,0
WELLS FARGO CO,COMMON STOCK,949746101,820,SOLE,18106,SH,18106,0,0
EXXON MOBIL CORP,COMMON STOCK,30231G102,2119,SOLE,33600,SH,33600,0,0
