nameOfIssuer,titleOfClass,cusip,value,investmentDiscretion,sshPrnamt,sshPrnamtType,Sole,Shared,None
AT&T INC,COMMON STOCK,00206R102,619,SOLE,21688,SH,21688,0,0
AIR PRODUCTS & CHEMICALS INC,COMMON STOCK,009158106,1633,SOLE,10200,SH,10200,0,0
ANADARKO PETROLEUM CORP,COMMON STOCK,032511107,202,SOLE,4602,SH,4602,0,0
AUTOMATIC DATA PROCESSING,COMMON STOCK,053015103,203,SOLE,1550,SH,1550,0,0
CARBON BLACK INC,COMMON STOCK,14081R103,1223,SOLE,91152,SH,91152,0,0
CARDLYTICS INC,COMMON STOCK,14161W105,389,SOLE,35897,SH,35897,0,0
COCA COLA CO/THE,COMMON STOCK,191216100,852,SOLE,18000,SH,18000,0,0
WALT DISNEY CO/THE,COMMON STOCK,254687106,658,SOLE,6000,SH,6000,0,0
EXXON MOBIL CORP,COMMON STOCK,30231G102,2291,SOLE,33600,SH,33600,0,0
GENERAL ELECTRIC CO,COMMON STOCK,369604103,303,SOLE,40075,SH,40075,0,0
GLOBAL BLOOD THERAPEUTICS IN,COMMON STOCK,37890U108,572,SOLE,13928,SH,13928,0,0
HONEYWELL INTERNATIONAL INC,COMMON STOCK,438516106,558,SOLE,4223,SH,4223,0,0
INTELLIA THERAPEUTICS INC,COMMON STOCK,45826J105,7158,SOLE,524423,SH,524423,0,0
ESTEE LAUDER COMPANIES CL A,COMMON STOCK,518439104,4345,SOLE,33400,SH,33400,0,0
MARSH & MCLENNAN COS,COMMON STOCK,571748102,415,SOLE,5200,SH,5200,0,0
MERCK & CO. INC.,COMMON STOCK,58933Y105,1650,SOLE,21600,SH,21600,0,0
NATERA INC,COMMON STOCK,632307104,4578,SOLE,327964,SH,327964,0,0
PPDAI GROUP INC ADR,ADR,69354V108,1200,SOLE,333438,SH,333438,0,0
PFIZER INC,COMMON STOCK,717081103,1207,SOLE,27645,SH,27645,0,0
S&P GLOBAL INC,COMMON STOCK,78409V104,1020,SOLE,6000,SH,6000,0,0
SPDR S&P MIDCAP 400 ETF TRUST,ETF,78467Y107,1695,SOLE,5600,SH,5600,0,0
SQUARE INC   A,COMMON STOCK,852234103,6128,SOLE,109259,SH,109259,0,0
TEXAS INSTRUMENTS INC,COMMON STOCK,882508104,614,SOLE,6500,SH,6500,0,0
VERIZON COMMUNICATIONS INC,COMMON STOCK,92343V104,997,SOLE,17735,SH,17735,0,0
WELLS FARGO & CO,COMMON STOCK,949746101,834,SOLE,18106,SH,18106,0,0
