nameOfIssuer,titleOfClass,cusip,value,investmentDiscretion,sshPrnamt,sshPrnamtType,Sole,Shared,None
AIR PRODUCTS  CHEMICALS INC,COM,009158106,2309,SOLE,10200,SH,10200,0,0
ANADARKO PETROLEUM CORP,COM,032511107,325,SOLE,4602,SH,4602,0,0
ANTERO RESOURCES CORP,COM,03674X106,374,SOLE,67550,SH,67550,0,0
ARVINAS INC,COM,04335A105,458,SOLE,20833,SH,20833,0,0
ATT INC,COM,00206R102,727,SOLE,21688,SH,21688,0,0
AUTOMATIC DATA PROCESSING,COM,053015103,256,SOLE,1550,SH,1550,0,0
CARDLYTICS INC,COM,14161W105,495,SOLE,19048,SH,19048,0,0
COCA COLA CO/THE,COM,191216100,917,SOLE,18000,SH,18000,0,0
ESTEE LAUDER COMPANIES CL A,CL A,518439104,6116,SOLE,33400,SH,33400,0,0
EXXON MOBIL CORP,COM,30231G102,2575,SOLE,33600,SH,33600,0,0
GENERAL ELECTRIC CO,COM,369604103,421,SOLE,40075,SH,40075,0,0
GLOBAL BLOOD THERAPEUTICS IN,COM,37890U108,733,SOLE,13928,SH,13928,0,0
HONEYWELL INTERNATIONAL INC,COM,438516106,737,SOLE,4223,SH,4223,0,0
INTELLIA THERAPEUTICS INC,COM,45826J105,1824,SOLE,111440,SH,111440,0,0
MARSH  MCLENNAN COS,COM,571748102,519,SOLE,5200,SH,5200,0,0
MERCK  CO. INC.,COM,58933Y105,1811,SOLE,21600,SH,21600,0,0
MICROSOFT CORP,COM,594918104,33,SOLE,248,SH,248,0,0
MONGODB INC,COM,60937P106,2913,SOLE,19154,SH,19154,0,0
NUTANIX INC   A,COM,67059N108,4150,SOLE,160000,SH,160000,0,0
PFIZER INC,COM,717081103,1198,SOLE,27645,SH,27645,0,0
SP GLOBAL INC,COM,78409V104,1367,SOLE,6000,SH,6000,0,0
SQUARE INC   A,COM,852234103,1679,SOLE,23150,SH,23150,0,0
TEXAS INSTRUMENTS INC,COM,882508104,746,SOLE,6500,SH,6500,0,0
VERIZON COMMUNICATIONS INC,COM,92343V104,1013,SOLE,17735,SH,17735,0,0
WALT DISNEY CO/THE,COM,254687106,857,SOLE,6000,SH,6000,0,0
WELLS FARGO  CO,COM,949746101,857,SOLE,18106,SH,18106,0,0
