nameOfIssuer,titleOfClass,cusip,value,investmentDiscretion,sshPrnamt,sshPrnamtType,Sole,Shared,None
AIR PRODUCTS CHEMICALS INC,COMMON STOCK,009158106,3038,SOLE,10200,SH,10200,0,0
AUTOMATIC DATA PROCESSING,COMMON STOCK,053015103,216,SOLE,1550,SH,1550,0,0
ARVINAS INC,COMMON STOCK,04335A105,338,SOLE,14333,SH,14333,0,0
BLOOM ENERGY CORP  A,COMMON STOCK,093712107,3151,SOLE,175354,SH,175354,0,0
BERKSHIRE HATHAWAY INC CL B,COMMON STOCK,084670702,1713,SOLE,8043,SH,8043,0,0
CONSTELLATION PHARMACEUTICAL,COMMON STOCK,210373106,25070,SOLE,1237406,SH,1237406,0,0
ESTEE LAUDER COMPANIES CL A,COMMON STOCK,518439104,7290,SOLE,33400,SH,33400,0,0
WALT DISNEY CO/THE,COMMON STOCK,254687106,744,SOLE,6000,SH,6000,0,0
FINVOLUTION GROUP,SPONSORED ADS,31810T101,94,SOLE,50952,SH,50952,0,0
GLOBAL BLOOD THERAPEUTICS IN,COMMON STOCK,37890U108,768,SOLE,13928,SH,13928,0,0
GENERAL ELECTRIC CO,COMMON STOCK,369604103,250,SOLE,40075,SH,40075,0,0
HONEYWELL INTERNATIONAL INC,COMMON STOCK,438516106,695,SOLE,4223,SH,4223,0,0
ISHARES IBOXX HIGH YIELD CORPO,IBOXX HI YD ETF,464288513,98918,SOLE,1179000,SH,1179000,0,0
COCA COLA CO/THE,COMMON STOCK,191216100,889,SOLE,18000,SH,18000,0,0
SPDR S P MIDCAP 400 ETF TRUST,UTSER1 S&PDCRP,78467Y107,1897,SOLE,5600,SH,5600,0,0
MARSH MCLENNAN COS,COMMON STOCK,571748102,596,SOLE,5200,SH,5200,0,0
MERCK CO. INC.,COMMON STOCK,58933Y105,1792,SOLE,21600,SH,21600,0,0
INTELLIA THERAPEUTICS INC,COMMON STOCK,45826J105,2215,SOLE,111440,SH,111440,0,0
OWL ROCK CAPITAL CORP,COMMON STOCK,69121K104,514852,SOLE,42690843,SH,42690843,0,0
ORCHARD THERAPEUTICS PLC,ADS,68570P101,2549,SOLE,620233,SH,620233,0,0
PFIZER INC,COMMON STOCK,717081103,1015,SOLE,27645,SH,27645,0,0
RAPT THERAPEUTICS INC,COMMON STOCK,75382E109,44459,SOLE,1380704,SH,1380704,0,0
S P GLOBAL INC,COMMON STOCK,78409V104,2164,SOLE,6000,SH,6000,0,0
AT T INC,COMMON STOCK,00206R102,618,SOLE,21688,SH,21688,0,0
TEXAS INSTRUMENTS INC,COMMON STOCK,882508104,928,SOLE,6500,SH,6500,0,0
UNITED PARCEL SERVICE CL B,COMMON STOCK,911312106,225,SOLE,1350,SH,1350,0,0
VERIZON COMMUNICATIONS INC,COMMON STOCK,92343V104,1055,SOLE,17735,SH,17735,0,0
WELLS FARGO CO,COMMON STOCK,949746101,426,SOLE,18106,SH,18106,0,0
EXXON MOBIL CORP,COMMON STOCK,30231G102,1153,SOLE,33600,SH,33600,0,0
